FID,FACILITY,SADDR,SCITY,SSTATE,SZIP,FCOUNTY,FPHONE,STYPE,LICNO,LICENSEE,CAPACITY,EXPIRES
"140018","Enoch Group Home","2310 Hyde Street","Burlington","NC","27217","Alamance","(336)524-3811","MHL","MHL-001-207","Merciful Hands, Inc.",6,12/31/2018
"080152","Ethel's Footprints","219 Albany Street","Burlington","NC","27215","Alamance","(336)226-4103","MHL","MHL-001-161","Vince Marley, LLC",4,12/31/2018
"090527","FOKUS Residential Services","411 Tillman Street","Burlington","NC","27215","Alamance","(336)350-8420","MHL","MHL-001-235","Keith D. Haith",6,12/31/2018
"031054","Falcon Crest Residential Care 2","2094 Haith Fuller Trail","Mebane","NC","27302","Alamance","(336)578-5775","MHL","MHL-001-141","Falcon Crest Residential Care Inc.",4,12/31/2018
"930657","Falcon Crest Residential Care 3 Inc.","3309-A  Hwy. 49","Burlington","NC","27217","Alamance","(336)578-5701","MHL","MHL-001-103","Falcon Crest Residential Care Inc.",4,12/31/2018
"031219","Falcon Lane Residential Facility","115 Falcon Lane","Mebane","NC","27302","Alamance","(919)563-9693","MHL","MHL-001-200","Solutions Community Support Agency, LLC",4,12/31/2018
"920774","Garner's House of Grace","914 Dixie Street","Burlington","NC","27217","Alamance","(336)350-8478","MHL","MHL-001-233","Shemia L. Garner",6,12/31/2018
"100761","Green Valley Haven","2528 Anderson Road","Burlington","NC","27217","Alamance","(336)270-4636","MHL","MHL-001-220","Green Valley Haven, LLC",6,12/31/2018
"090688","Guidance House","805 Tucker Street","Burlington","NC","27215","Alamance","(336)226-2381","MHL","MHL-001-186","Guidance House, LLC",6,12/31/2018
"942857","Hall Avenue Facility","136 Hall Avenue","Burlington","NC","27217","Alamance","(336)227-7417","MHL","MHL-001-016","Residential Treatment Services of Alamance, Inc.",27,12/31/2018
"942857","Hall Avenue Facility","136 Hall Avenue","Burlington","NC","27217","Alamance","(336)227-7417","MHL","MHL-001-016","Residential Treatment Services of Alamance, Inc.",27,12/31/2018
"942857","Hall Avenue Facility","136 Hall Avenue","Burlington","NC","27217","Alamance","(336)227-7417","MHL","MHL-001-016","Residential Treatment Services of Alamance, Inc.",27,12/31/2018
"001460","Haw River Group Home","2150 Haw River-Hopedale Road","Haw River(Burlington)","NC","27217","Alamance","(336)227-1011","MHL","MHL-001-086","Ralph Scott Lifeservices, Inc.",6,12/31/2018
"980379","Hazel's Residential Care","1010 Madison Street","Burlington","NC","27217","Alamance","(336)228-6357","MHL","MHL-001-204","Brendell K. Turner",4,12/31/2018
"060103","Helping Hands Group Home, LLC","322/324 Walker Avenue","Graham","NC","27253","Alamance","(336)270-4332","MHL","MHL-001-192","Helping Hands Group Home, LLC",6,12/31/2018
"920580","Huffines Group Home","3372 Huffines Drive","Burlington","NC","27215","Alamance","(336)227-1011","MHL","MHL-001-088","Ralph Scott Lifeservices, Inc.",6,12/31/2018
"070739","Journey to Success","913 B & 915 South Main Street","Burlington","NC","27215","Alamance","(336)227-1484","MHL","MHL-001-240","Universal Mental Health Services, Inc.",0,12/31/2018
"170211","Just In Time Youth Services","1710 Sykes Street","Burlington","NC","27215","Alamance","(336)261-7148","MHL","MHL-001-149","Just In Time Youth Services",4,12/31/2018
"170219","Just In Time Youth Services","432 West 5th Street","Burlington","NC","27215","Alamance","(336)395-8526","MHL","MHL-001-253","Just In Time Youth Services",4,12/31/2018
"030775","Just In Time Youth Services II","111 Dogwood Drive","Burlington","NC","27215","Alamance","(336)261-7148","MHL","MHL-001-169","Just In Time Youth Services",6,12/31/2018
"000118","L & J Homes","803 Elizabeth Street","Burlington","NC","27217","Alamance","(336)227-5593","MHL","MHL-001-073","L & J Homes, Inc.",3,12/31/2018
"060482","L & J Homes -Apple Street","816 Apple Street","Burlington","NC","27217","Alamance","(336)228-1456","MHL","MHL-001-142","L & J Homes, Inc.",3,12/31/2018
"990635","L & J Homes, Inc.-Richmond Avenue","511 Richmond Avenue","Burlington","NC","27217","Alamance","(336)226-5561","MHL","MHL-001-106","L & J Homes, Inc.",2,12/31/2018
"920644","Lakeside Avenue Group Home","422 Lakeside Avenue","Burlington","NC","27217","Alamance","(336)227-1011","MHL","MHL-001-087","Ralph Scott Lifeservices, Inc.",6,12/31/2018
"090425","Life Cycles Residential Facility","614 Oakdale Court","Burlington","NC","27217","Alamance","(336)227-6010","MHL","MHL-001-218","Solutions Community Support Agency, LLC",4,12/31/2018
"070698","Lillies Place","1804 Harris Drive","Burlington","NC","27215","Alamance","(336)222-9424","MHL","MHL-001-156","Cherry S. Crisp",6,12/31/2018
"170145","Lillies Place #2","121 Hazel Drive","Burlington","NC","27217","Alamance","(336)792-6441","MHL","MHL-001-251","Lillies Place #2, Inc.",6,12/31/2018
"170098","Lindley College X","2855 South Church Street, Suite E","Burlington","NC","27215","Alamance","(336)404-0168","MHL","MHL-001-248","Lindley Habilitation Services, Inc.",0,12/31/2018
"170185","Mallard Creek AFL","304 Mallard Creek Drive","Graham","NC","27253","Alamance","(336)675-5937","MHL","MHL-001-250","Universal Mental Health Services, Inc.",2,12/31/2018
"920760","McPherson Group Home","400 East McPherson Drive","Mebane","NC","27302","Alamance","(336)227-1011","MHL","MHL-001-091","Ralph Scott Lifeservices, Inc.",6,12/31/2018
"170183","Motivational Residential Care","164 Graves Street","Burlington","NC","27215","Alamance","(336)270-8180","MHL","MHL-001-252","Signal D. White",3,12/31/2018
"970002","New Beginnings Group Home","630 W. Harden Street","Graham","NC","27253","Alamance","(336)693-5544","MHL","MHL-001-224","Murphy's Group Home LLC",6,12/31/2018
"930005","New Dimensions Interventions, Inc.","2856 Anderson Road","Burlington","NC","27217","Alamance","(336)675-3215","MHL","MHL-001-165","New Dimensions Intervention, Inc.",5,12/31/2018
"100635","New Dimensions Interventions, Inc.","602 Piedmont Way","Burlington","NC","27215","Alamance","(336)350-4804","MHL","MHL-001-164","New Dimensions Interventions, Inc.",4,12/31/2018
"070543","New Possibilities Home For Children, LLC","813 Trail One","Burlington","NC","27215","Alamance","(336)261-3427","MHL","MHL-001-155","New Possibilities Home for Children, LLC",4,12/31/2018
"920859","North Mebane Street Group Home","1422 North Mebane Street","Burlington","NC","27217","Alamance","(336)227-1011","MHL","MHL-001-092","Ralph Scott Lifeservices, Inc.",5,12/31/2018
"170063","OE Enterprises Inc at Alamance","1341 Anthony Road","Burlington","NC","27215","Alamance","(336)506-2515","MHL","MHL-001-064","OE Enterprises, Inc.",0,12/31/2018
"051432","Open Arms, LLC 'Serenity'","1009-A E. Webb Avenue","Burlington","NC","27217","Alamance","(336)228-7662","MHL","MHL-001-130","Open Arms, LLC",6,12/31/2018
"070176","Pam Fogleman","1205 Bethpage Drive","Mebane","NC","27302","Alamance","(919)304-0960","MHL","MHL-001-128","Pam Fogleman",3,12/31/2018
"922412","Poplar Street Group Home","328 Poplar Street","Graham","NC","27253","Alamance","(336)227-1011","MHL","MHL-001-007","Ralph Scott Lifeservices, Inc.",6,12/31/2018
"150380","Psychotherapeutic Services, Inc.","2260 South Church Street, Suite 303","Burlington","NC","27215","Alamance","(336)538-6990","MHL","MHL-001-226","Psychotherapeutic Services, Inc.",0,12/31/2018
"140465","Quality Care First Inc.","1216 Wallace Street","Burlington","NC","27217","Alamance","(336)270-4802","MHL","MHL-001-239","Quality Care First Inc.",3,12/31/2018
"090559","RHA Burlington Behavioral Health Center","2732 Anne Elizabeth Drive","Burlington","NC","27215","Alamance","(336)229-5905","MHL","MHL-001-238","RHA Health Services Inc.",0,12/31/2018
"922765","Ralph Scott Lifeservices, Inc.","710 Townbranch Road","Graham","NC","27253","Alamance","(336)227-1011","MHL","MHL-001-008","Ralph Scott Lifeservices, Inc.",6,12/31/2018
"954623","Ralph Scott Lifeservices, Inc./Rosemont Street","304 Rosemont Street","Gibsonville","NC","27249","Alamance","(336)227-1011","MHL","MHL-001-031","Ralph Scott Lifeservices, Inc.",6,12/31/2018
"954539","Ralph Scott Lifeservices, Inc./Veterans Drive","500 Veterans Drive","Elon College","NC","27244","Alamance","(336)227-1011","MHL","MHL-001-030","Ralph Scott Lifeservices, Inc.",6,12/31/2018
"952105","Ralph Scott Lifeservices, inc.-Laramie Drive Group Home","108 Laramie Drive","Mebane","NC","27302","Alamance","(336)227-1011","MHL","MHL-001-027","Ralph Scott Lifeservices, Inc.",6,12/31/2018
"090237","Restorations","2211 Rogers Street","Burlington","NC","27217","Alamance","(336)570-2891","MHL","MHL-001-148","Genesis Residential Care Center, LLC",3,12/31/2018
"040136","Richmond Place","1425 Vaughn Road","Burlington","NC","27217","Alamance","(336)261-3092","MHL","MHL-001-216","Rouse's Group Home II, Inc.",3,12/31/2018
"921077","Second Street Group Home","700 South Second Street","Mebane","NC","27302","Alamance","(336)227-1011","MHL","MHL-001-093","Ralph Scott Lifeservices, Inc.",5,12/31/2018
"960362","Sixth Street D.D.A. Group Home","313 E. Sixth Street","Burlington","NC","27215","Alamance","(336)222-1812","MHL","MHL-001-085","Curtis E. Torain",9,12/31/2018
"000155","Spring Hill Group Home","154 Huffine Road","Gibsonville","NC","27249","Alamance","(336)227-1011","MHL","MHL-001-094","Ralph Scott Lifeservices, Inc.",6,12/31/2018
"955649","Star Point Day Program","1212 Turrentine Street","Burlington","NC","27215","Alamance","(336)513-4335","MHL","MHL-001-040","Ralph Scott Lifeservices, Inc.",0,12/31/2018
"130285","Star Pointe","203 Overbrook Terrace","Burlington","NC","27215","Alamance","(336)254-8798","MHL","MHL-001-152","Sunrise Pointe, LLC",6,12/31/2018
"080424","The Sharpe Road Adult Home Care, LLC","826 Sharpe Road","Burlington","NC","27217","Alamance","(336)226-0337","MHL","MHL-001-173","The Sharpe Road Adult Home Care, LLC",5,12/31/2018
"150383","The Together House","2260 South Church Street, Suite 304","Burlington","NC","27215","Alamance","(336)513-4229","MHL","MHL-001-001","Psychotherapeutic Services, Inc.",0,12/31/2018
"090075","Thompson Family Care","2533 East Simpson Road","Burlington","NC","27217","Alamance","(336)578-7512","MHL","MHL-001-197","Deborah B. Thompson",3,12/31/2018
"160370","Total Access Care Woodland","2154 Woodland Avenue","Burlington","NC","27215","Alamance","(336)271-5888","MHL","MHL-001-249","Triad Medical Group, PA",4,12/31/2018
"140410","Triad Health Care 1","706 Huffman Mill Road, Building P, Apartment 14","Burlington","NC","27215","Alamance","(919)672-5815","MHL","MHL-001-107","Byron White",4,12/31/2018
"140409","Triad Healthcare Services 2","915 Scott Street","Burlington","NC","27215","Alamance","(919)672-5815","MHL","MHL-001-124","Byron White",6,12/31/2018
"140483","Trinity Behavioral Healthcare PC","2716 Troxler Road, Suite A","Burlington","NC","27215","Alamance","(336)570-0104","MHL","MHL-001-236","Trinity Behavioral Healthcare PC",0,12/31/2018
"140483","Trinity Behavioral Healthcare PC","2716 Troxler Road, Suite A","Burlington","NC","27215","Alamance","(336)570-0104","MHL","MHL-001-236","Trinity Behavioral Healthcare PC",0,12/31/2018
"140483","Trinity Behavioral Healthcare PC","2716 Troxler Road, Suite A","Burlington","NC","27215","Alamance","(336)570-0104","MHL","MHL-001-236","Trinity Behavioral Healthcare PC",0,12/31/2018
"020604","Turning Point","1308 Elrado Street","Burlington","NC","27217","Alamance","(336)226-2629","MHL","MHL-001-223","Creative Directions, Inc.",6,12/31/2018
"090202","Turning Pointe #1","1409 Jackson Street","Burlington","NC","27217","Alamance","(336)350-9465","MHL","MHL-001-177","Sunrise Pointe, LLC",4,12/31/2018
"921959","Union Avenue Group Home","210 Union Avenue","Burlington","NC","27217","Alamance","(336)228-9376","MHL","MHL-001-201","Mary N. Woods",6,12/31/2018
"955454","Vision II","413 Everett Street","Burlington","NC","27215","Alamance","(336)226-1647","MHL","MHL-001-195","Vision of Therapeutic Development, Inc.",6,12/31/2018
"921318","West Hillcrest DDA Home","925 South Church Street","Burlington","NC","27215","Alamance","(336)227-3845","MHL","MHL-001-081","Sheila C. Smith",6,12/31/2018
"930773","Wicker Street Group Home","809 Wicker Street","Burlington","NC","27217","Alamance","(336)227-4350","MHL","MHL-001-217","Green Valley Haven, LLC",6,12/31/2018
"931337","Wildwood Lane Group Home","505 Wildwood Lane","Graham","NC","27253","Alamance","(336)227-1011","MHL","MHL-001-096","Ralph Scott Lifeservices, Inc.",6,12/31/2018
"921345","Williamson Avenue Group Home","529  Williamson Avenue","Elon","NC","27244","Alamance","(336)227-1011","MHL","MHL-001-095","Ralph Scott Lifeservices, Inc.",5,12/31/2018
"070173","Youth Builders, LLC","2423 Morningside Drive","Burlington","NC","27217","Alamance","(336)261-5920","MHL","MHL-001-150","Youth Builders, LLC",4,12/31/2018
"160530","Addiction Recovery Medical Services","31 East Main Avenue","Taylorsville","NC","28681","Alexander","(704)872-0234","MHL","MHL-002-029","Addiction Recovery Medical Services, PLLC",0,12/31/2018
"160530","Addiction Recovery Medical Services","31 East Main Avenue","Taylorsville","NC","28681","Alexander","(704)872-0234","MHL","MHL-002-029","Addiction Recovery Medical Services, PLLC",0,12/31/2018
"921430","Alexander Group Home","438 Old Wilkesboro Road","Taylorsville","NC","28681","Alexander","(828)632-8733","MHL","MHL-002-017","Turning Point Services, Inc.",5,12/31/2018
"921431","Alexander Opportunities","554 Seventh Street SW","Taylorsville","NC","28681","Alexander","(828)632-7414","MHL","MHL-002-004","Turning Point Services, Inc.",0,12/31/2018
"924812","Alexander PSR","933 W. Main Street","Taylorsville","NC","28681","Alexander","(828)632-0790","MHL","MHL-002-008","Carolina Residential Services, Inc.",0,12/31/2018
"130577","Changing Lives Now #1","3598 NC Highway 90 E","Taylorsville","NC","28072","Alexander","(828)352-7164","MHL","MHL-002-024","Changing Lives Now, LLC",3,12/31/2018
"150463","Changing Lives Now #2","286 Linneys Mountain Road","Taylorsville","NC","28681","Alexander","(828)352-9076","MHL","MHL-002-026","Changing Lives Now, LLC",5,12/31/2018
"955559","Ellendale Group Home","4165 NC Highway 127","Taylorsville","NC","28681","Alexander","(828)632-7615","MHL","MHL-002-010","ComServ, Inc.",6,12/31/2018
"952149","Little River Group Home","4161 NC Hwy 127","Taylorsville","NC","28681","Alexander","(828)632-0263","MHL","MHL-002-005","ComServ, Inc.",6,12/31/2018
"140199","Luca's Hope 2","460 Lewittes Road","Taylorsville","NC","28681","Alexander","(828)352-9762","MHL","MHL-002-025","Luca's Hope, LLC",4,12/31/2018
"150542","Luca's Hope III","243 Liledoun Road","Taylorsville","NC","28681-4592","Alexander","(828)352-7036","MHL","MHL-002-028","Luca's Hope, LLC",6,12/31/2018
"160182","RHA - Alexander County","395 3rd Avenue, South West","Taylorsville","NC","28681","Alexander","(828)848-2515","MHL","MHL-002-027","RHA Health Services, Inc.",0,12/31/2018
"954822","VOCA-Second Avenue Group Home","49 Second Avenue SE","Taylorsville","NC","28681","Alexander","(828)635-1757","MHL","MHL-002-007","VOCA Corporation of North Carolina",6,12/31/2018
"921434","Alleghany Group Homes, Inc., ADAP","133 Health Services Rd.","Sparta","NC","28675","Alleghany","(336)372-5671","MHL","MHL-003-002","Alleghany Group Homes, Inc.",0,12/31/2018
"922294","Daymark Outpatient Facility","1650 Highway 18 South","Sparta","NC","28675","Alleghany","(336)372-4095","MHL","MHL-003-015","Daymark Recovery Services, Inc.",0,12/31/2018
"921398","Daymark PSR","102 Health Service Road","Sparta","NC","28675","Alleghany","(336)372-4095","MHL","MHL-003-014","Daymark Recovery Services, Inc.",0,12/31/2018
"952292","New River Cottage, Inc.","82 Davis Lane","Sparta","NC","28675","Alleghany","(336)372-2592","MHL","MHL-003-003","New River Cottage, Inc.",5,12/31/2018
"960761","Samuel C. Evans Jr. Group Home","53 Estep Street","Sparta","NC","28675","Alleghany","(336)372-4738","MHL","MHL-003-007","Alleghany County Group Homes, Inc.",5,12/31/2018
"921447","Anson Group Home","405 Burns Street","Wadesboro","NC","28170","Anson","(704)694-4069","MHL","MHL-004-003","Monarch",6,12/31/2018
"921446","Anson PSR","219 South Rutherford Street","Wadesboro","NC","28170","Anson","(704)694-9488","MHL","MHL-004-018","Monarch",0,12/31/2018
"921449","Ansonville Group Home","1215 Ansonville/Polkton Rd.","Ansonville","NC","28007","Anson","(704)826-6233","MHL","MHL-004-004","Monarch",6,12/31/2018
"170096","Carolina Community Behavioral Services, LLC","119 West Wade Street, Suite C & D","Wadesboro","NC","28170","Anson","(704)994-2555","MHL","MHL-004-045","Carolina Community Behavioral Services, LLC",0,12/31/2018
"170096","Carolina Community Behavioral Services, LLC","119 West Wade Street, Suite C & D","Wadesboro","NC","28170","Anson","(704)994-2555","MHL","MHL-004-045","Carolina Community Behavioral Services, LLC",0,12/31/2018
"070852","Cornerstone Treatment Facility","129 Wallace Road","Wadesboro","NC","28170","Anson","(704)695-0601","MHL","MHL-004-016","Cornerstone Treatment Facility, Inc.",12,12/31/2018
"091066","Day By Day Family Services, LLC","216 Wortham Street","Wadesboro","NC","28170","Anson","(704)405-4265","MHL","MHL-004-041","Day By Day Family Services, LLC",0,12/31/2018
"091066","Day By Day Family Services, LLC","216 Wortham Street","Wadesboro","NC","28170","Anson","(704)405-4265","MHL","MHL-004-041","Day By Day Family Services, LLC",0,12/31/2018
"951448","Daymark Recovery Services Anson Center","704 Old Lilesville Road","Wadesboro","NC","28170","Anson","(704)694-6588","MHL","MHL-004-017","Daymark Recovery Services, Inc.",0,12/31/2018
"951448","Daymark Recovery Services Anson Center","704 Old Lilesville Road","Wadesboro","NC","28170","Anson","(704)694-6588","MHL","MHL-004-017","Daymark Recovery Services, Inc.",0,12/31/2018
"951448","Daymark Recovery Services Anson Center","704 Old Lilesville Road","Wadesboro","NC","28170","Anson","(704)694-6588","MHL","MHL-004-017","Daymark Recovery Services, Inc.",0,12/31/2018
"120269","F & J Community Services, Inc.","7612 Highway 52 South","Morven","NC","28119","Anson","(704)851-9000","MHL","MHL-004-043","F & J Community Services, Inc.",6,12/31/2018
"130250","Kennedy PSR & Day Treatment & Partial Hospitalzation","121 N. Greene Street","Wadesboro","NC","28170","Anson","(704)695-0676","MHL","MHL-004-044","Veronica D. Kennedy",0,12/31/2018
"130250","Kennedy PSR & Day Treatment & Partial Hospitalzation","121 N. Greene Street","Wadesboro","NC","28170","Anson","(704)695-0676","MHL","MHL-004-044","Veronica D. Kennedy",0,12/31/2018
"130250","Kennedy PSR & Day Treatment & Partial Hospitalzation","121 N. Greene Street","Wadesboro","NC","28170","Anson","(704)695-0676","MHL","MHL-004-044","Veronica D. Kennedy",0,12/31/2018
"100435","New Horizon Group Home, LLC","21 NC Hwy 742 South","Wadesboro","NC","28170","Anson","(704)695-1020","MHL","MHL-004-033","New Horizon Group Home, LLC",0,12/31/2018
"140514","New Horizon Group Home, LLC","103 N. Rutherford Street","Wadesboro","NC","28170","Anson","(704)695-1020","MHL","MHL-004-040","New Horizon Group Home, LLC",0,12/31/2018
"140514","New Horizon Group Home, LLC","103 N. Rutherford Street","Wadesboro","NC","28170","Anson","(704)695-1020","MHL","MHL-004-040","New Horizon Group Home, LLC",0,12/31/2018
"120136","Next Generation Educational-SAIOP Treatment Center-East","201 West Morgan Street","Wadesboro","NC","28170","Anson","(704)465-2221","MHL","MHL-004-031","Agape Services, Inc.",0,12/31/2018
"120136","Next Generation Educational-SAIOP Treatment Center-East","201 West Morgan Street","Wadesboro","NC","28170","Anson","(704)465-2221","MHL","MHL-004-031","Agape Services, Inc.",0,12/31/2018
"956338","Pine Terrace Home","501 Pine Terrace Street","Wadesboro","NC","28170","Anson","(704)694-9394","MHL","MHL-004-019","Monarch",6,12/31/2018
"100168","Sandhills Behavioral Center, Inc.","303 East View Street","Wadesboro","NC","28170","Anson","(704)465-2737","MHL","MHL-004-035","Sandhills Behavioral Center, Inc.",0,12/31/2018
"100168","Sandhills Behavioral Center, Inc.","303 East View Street","Wadesboro","NC","28170","Anson","(704)465-2737","MHL","MHL-004-035","Sandhills Behavioral Center, Inc.",0,12/31/2018
"100168","Sandhills Behavioral Center, Inc.","303 East View Street","Wadesboro","NC","28170","Anson","(704)465-2737","MHL","MHL-004-035","Sandhills Behavioral Center, Inc.",0,12/31/2018
"160551","Walkers Day Program","205 West Morgan Street, Suite W","Wadesboro","NC","28170","Anson","(704)438-4428","MHL","MHL-004-037","Michael Walker",0,12/31/2018
"160551","Walkers Day Program","205 West Morgan Street, Suite W","Wadesboro","NC","28170","Anson","(704)438-4428","MHL","MHL-004-037","Michael Walker",0,12/31/2018
"921460","Ashe County ADVP","9448 Highway 194N","Lansing","NC","28643","Ashe","(336)384-3718","MHL","MHL-005-001","Ashe County Adult Development Assoc., Inc.",0,12/31/2018
"140395","Clay's House","500 Frank Street","West Jefferson","NC","28694","Ashe","(336)246-3603","MHL","MHL-005-028","Community Alternatives NC",3,12/31/2018
"030504","Hensley Home","306 Locust Street","West Jefferson","NC","28694","Ashe","(336)846-1202","MHL","MHL-005-021","RHA Health Services NC, LLC",6,12/31/2018
"170036","Johnson Home","1042 Cabbage Creek Road","Creston","NC","28615","Ashe","(336)385-1091","MHL","MHL-005-029","Community Alternatives of North Carolina",2,12/31/2018
"922468","Ridgecrest I","310 Locust Street","West Jefferson","NC","28694","Ashe","(336)246-7010","MHL","MHL-005-010","RHA Health Services NC, LLC",6,12/31/2018
"922469","Ridgecrest II","421 Ridgecrest Avenue","West Jefferson","NC","28694","Ashe","(336)246-7020","MHL","MHL-005-009","RHA Health Services NC, LLC",6,12/31/2018
"030241","S.T.E.P. (Summit Training and Education Program)","406 Court Street","Jefferson","NC","28640","Ashe","(336)846-5678","MHL","MHL-005-018","Summit Support Services of Ashe, Inc.",0,12/31/2018
"920033","Summit Support Services of Ashe, Inc. - Ark","342 Long Street","Jefferson","NC","28640","Ashe","(336)846-6534","MHL","MHL-005-020","Summit Support Services of Ashe, Inc.",6,12/31/2018
"920034","Summit Support Services of Ashe-Lighthouse","120 Ashe Street","Jefferson","NC","28640","Ashe","(336)846-2777","MHL","MHL-005-019","Summit Support Services of Ashe, Inc.",6,12/31/2018
"922750","Thomas Street Home","348 Thomas St.","Jefferson","NC","28640","Ashe","(336)246-7030","MHL","MHL-005-011","RHA Health Services NC, LLC",6,12/31/2018
"922888","Willow Place Group Home","603 Long Street","West Jefferson","NC","28694","Ashe","(336)219-0038","MHL","MHL-005-024","Easter Seals UCP North Carolina & Virginia, Inc.",6,12/31/2018
"955477","Avery County Group Home","198 Cemetary Road","Newland","NC","28657","Avery","(828)733-1273","MHL","MHL-006-006","Avery Asso. For Exceptional Citizens, Inc.",6,12/31/2018
"130605","Blue Ridge Academy Day Treatment","76 Old Montezuma Road, Aternative School & Annex","Newland","NC","28657","Avery","(828)733-0145","MHL","MHL-006-023","Daymark Recovery Services, Inc.",0,12/31/2018
"922234","Daymark C.A.R.E.S.","360 Beech Street","Newland","NC","28657","Avery","(828)733-5889","MHL","MHL-006-020","Daymark Recovery Services, Inc.",0,12/31/2018
"090056","Grandfather Home Day Treatment","64 Hickory Nut Gap Road","Banner Elk","NC","28604","Avery","(828)898-5465","MHL","MHL-006-022","Grandfather Home for Children, Inc.",0,12/31/2018
"956211","Grandfather Home For Children","158 Grandfather Home Drive","Banner Elk","NC","28604","Avery","(828)898-5465","MHL","MHL-006-009","Grandfather Home for Children, Inc.",16,12/31/2018
"100547","Grandfather Home For Children - Hickory Cottage","240 Grandfather Home Dr., Bldg.1","Banner Elk","NC","28604","Avery","(828)898-5465","MHL","MHL-006-018","Grandfather Home for Children, Inc.",6,12/31/2018
"100548","Grandfather Home for Children - Harris Cottage","240 Grandfather Home Dr., Bldg. 2","Banner Elk","NC","28604","Avery","(828)898-5465","MHL","MHL-006-019","Grandfather Home for Children, Inc.",6,12/31/2018
"130421","Grandfather Home for Children - Neale Cottage","158 Grandfather Home Drive","Banner Elk","NC","28604","Avery","(828)898-5465","MHL","MHL-006-024","Grandfather Home for Children, Inc.",6,12/31/2018
