FID,STYPE,FACILITY,FADDR1,FADDR2,FCITY,FSTATE,FZIP,FCOUNTY,FPHONE,FEXTEN,FFAX,OBN1,OBN2,SADDR,SCITY,SSTATE,SZIP,ICF,LICNO,LICENSEE,ODATE,EFFECTIVE,EXPIRES,FULL,SAELIGIBLE,CAPACITY,NFTOTAL,HATOTAL,LTCTOTAL,HTOTAL,TOTALBEDS,HGENLIC,REHABHLIC,PSYLIC,SALIC,DETOXLIC,HOSLIC,RSRCHLIC,OTHRHLIC,ALZLIC,HIVLIC,REHABNLIC,TBILIC,VENLIC,OTHNFLIC,NFGENLIC,HAALZLIC,HAHIVLIC,HAGENLIC,RETIREBEDS,CONCARE,ADCP,HOSPICE,RESPITE,REHAB,HOMECARE,SUBACUBEDS,CONSUBACUT,HCACAT,HOSCAT,NPCAT,NSGSVCS,NSGINTSV,NSGPDSV,IVSV,AIDESV,SWSV,PTSV,OTSV,SPSV,PMSV,DMESV,SPLYSV,NSGPOOL,POOLAIDE,HHASV,HHANO,HOSNO,HPBEDS,HRBEDS,HOSSV,ADMNAME,ADMPHONE,DONNAME,MGMTNAME,MGMTADDR,PARNAME,PARADDR,OWNER,OWNERADDR,HOLDSTYPE
"922418","Mental Health Homes","Blue Ridge Homes","PO Box 1250","","Asheville","NC","28802-1250","Buncombe","(828)686-7385","","(828)251-4530","","","91 Poplar Circle","Swannanoa","NC","28778",T,"MHL-011-007","Blue Ridge Area Foundation, Inc.",07/21/1988,01/01/2018,12/31/2018,T,F,32,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,F,F,F,F,F,0,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,"","",0,0,F,"Chrissie Gulden","(828)274-7540","","","","","","Lawerence E Thompson lll","","MHL"
"922427","Mental Health Homes","Blue Ridge Homes-Madison","po box 1250","","Asheville","NC","28802-1250","Madison","(828)689-9265","","(828)251-4530","","","Blue Ridge Homes Drive #50","Mars Hill","NC","28754",T,"MHL-057-003","Blue Ridge Area Foundation, Inc.",09/01/1988,01/01/2018,12/31/2018,T,F,32,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,F,F,F,F,F,0,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,"","",0,0,F,"Chrissie Gulden","(828)274-7540","","","","","","Lawerence E Thompson lll","","MHL"
"921514","Mental Health Homes","Bon Rea Drive Group Home","1511 Shopton Rd, Suite A","","Charlotte","NC","28217-3127","Mecklenburg","(704)541-7334","","(704)944-5102","","","3747 Bon Rea Drive","Charlotte","NC","28226",T,"MHL-060-120","Lifespan Incorporated",03/01/1991,01/01/2018,12/31/2018,T,F,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,F,F,F,F,F,0,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,"","",0,0,F,"Sonya Reid","(704)393-5916","","","","","","Devan M Cloninger","","MHL"
"921515","Mental Health Homes","Bonnie Lane Group Home","190 Commerce Boulevard","","Statesville","NC","28625","Iredell","(704)872-3257","","(704)872-3651","","","121 Bonnie Lane","Statesville","NC","28625",T,"MHL-049-016","RHA Health Services NC, LLC",01/01/1988,01/01/2018,12/31/2018,T,F,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,F,F,F,F,F,0,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,"","",0,0,F,"Michael Heller","(704)872-3257","","RHA Health Management Services, LLC","17 Church St Asheville, NC 28801-","Residential Healthcare Affiliates Inc","1200 ridgefield Blvd.  suite 270 Asheville, NC 28806","RHA Health Services NC, LLC","17 Church Street Asheville, NC 28801","MHL"
"921517","Mental Health Homes","Bost Children's Center","P.O. Box 909","","Concord","NC","28026-0909","Cabarrus","(704)786-1405","","(704)788-2951","","","5300 Highway 200","Concord","NC","28025",T,"MHL-013-006","Piedmont Residential Development Center, Inc.",02/29/1980,01/01/2018,12/31/2018,T,F,14,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,F,F,F,F,F,0,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,"","",0,0,F,"Lisa S Azzarello","(704)786-1405","","","","","","Lisa S Azzarello","","MHL"
"921518","Mental Health Homes","Boxwood Acres","211 Roseman Avenue","","Cleveland","NC","27013","Davie","(704)278-9681","","(704)278-4799","","","3464 US Highway 601 South","Mocksville","NC","27028",T,"MHL-030-006","RHA Health Services NC, LLC",10/01/1987,01/01/2018,12/31/2018,T,F,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,F,F,F,F,F,0,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,"","",0,0,F,"Lisa Jones","(704)278-9681","","RHA Health Management Services, LLC","17 Church Street Asheville, NC 28801","","","RHA Health Services NC, LLC","17 Church Street Asheville, NC 28801","MHL"
"921650","Mental Health Homes","Brices Creek Road Home","350 Pee Dee Ave, Suite 101","","Albemarle","NC","28001","Craven","(252)635-5377","","(252)514-4739","","","3000 Brices Creek Road","New Bern","NC","28560",T,"MHL-025-002","Monarch",03/31/1983,01/01/2018,12/31/2018,T,F,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,F,F,F,F,F,0,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,"","",0,0,F,"Christy Shaver","(704)986-1500","","","","","","Peggy S Terhune","","MHL"
"924983","Mental Health Homes","Brookwood","1910 N. Church St, Units 3B&4A","","Greensboro","NC","27405","Randolph","(336)622-3003","","(336)370-1023","","","313 East Brookwood Avenue","Liberty","NC","27298",T,"MHL-076-022","Community Innovations, Inc.",07/07/1994,01/01/2018,12/31/2018,T,F,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,F,F,F,F,F,0,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,"","",0,0,F,"Madelyn McLaughlin","(336)622-3003","","","","Saguaro Group LLC","3210 Fairhill Drive Raleigh, NC 27612","Community Based Care, LLC","315 Wilkesboro Blvd NE, Suite 2A Lenoir, NC 28645","MHL"
"921534","Mental Health Homes","Brookwood Home","1754 GKN Way","","Newton","NC","28658","Lincoln","(704)735-3199","","(828)428-3600","","","1254 Brookhaven Drive","Lincolnton","NC","28092",T,"MHL-055-008","RHA Health Services NC, LLC",07/01/1988,01/01/2018,12/31/2018,T,F,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,F,F,F,F,F,0,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,"","",0,0,F,"Arlene Bridges","(828)428-0061","","RHA Health Management Services, LLC","17 Church Street Asheville, NC 28801","Resource Healthcare of America Inc","One Buckhead Plaza, Suite 900, 3060 Peachtree Rd., N.W. Atlanta, GA 30305","RHA Health Services NC, LLC","17 Church Street Asheville, NC 28801","MHL"
"061106","Mental Health Homes","Browne Group Home","818 Tyvola Rd Suite 104","","Charlotte","NC","28217","Mecklenburg","(704)405-1509","","(704)558-4773","","","8205 Browne Road","Charlotte","NC","28269",T,"MHL-060-245","EduCare Community Living Corporation-North Carolina",01/27/1995,01/01/2018,12/31/2018,F,F,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,F,F,F,F,F,0,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,"","",0,0,F,"Denise Derkowski","(704)519-0077","","","","","","Douglas Russell","","MHL"
"925192","Mental Health Homes","Burtonwood Circle Home","195 Ervin Woods Dr.","","Kannapolis","NC","28081","Mecklenburg","(704)536-0364","","(704)925-8140","","","1710 Burtonwood Circle","Charlotte","NC","28212",T,"MHL-060-228","RHA Health Services NC, LLC",09/19/1994,01/01/2018,12/31/2018,T,F,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,F,F,F,F,F,0,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,"","",0,0,F,"Katherine Benton","(704)925-8041","","RHA Health Management Services, LLC","17 Church Street Asheville, NC 28801-","Resource Healthcare of America Inc","One Buckhead Plaza  Suite 900, 3060 Peachtree NW Atlanta, GA 30305","RHA Health Services NC, LLC","17 Church Street Asheville, NC 28801","MHL"
"921586","Mental Health Homes","Canterbury Road Home","501-C South Wall Street","","Benson","NC","27504","Johnston","(919)934-5907","","(919)894-1488","","","214 Canterbury Road","Smithfield","NC","27577",T,"MHL-051-011","RHA Health Services NC, LLC",05/01/1986,01/01/2018,12/31/2018,T,F,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,F,F,F,F,F,0,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,"","",0,0,F,"Fred Nelson","(919)894-5124","","RHA Health Services, LLC","17 Church Street Asheville, NC 28801","Resource Healthcare of America Inc","1 Buckhead Plaza Suite 900, 3060 Peachtree Road NW Atlanta, GA 30305","RHA Health Services NC, LLC","17 Church Street Asheville, NC 28801","MHL"
"010049","Mental Health Homes","Carolina Farms Group Home #1","PO Box 2487","","Albemarle","NC","28002","Stanly","(704)983-2059","","(704)982-8155","","","31719 Herb Farm Circle","Albemarle","NC","28001",T,"MHL-084-054","GHA Autism Supports",01/20/2004,01/01/2018,12/31/2018,F,F,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,F,F,F,F,F,0,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,"","",0,0,F,"Dawn H Allen","(704)982-9600","","","","","","Dawn H Allen","","MHL"
"030833","Mental Health Homes","Carolina Farms Group Home #2","PO Box 2487","","Albemarle","NC","28002","Stanly","(704)983-2569","","(704)982-8155","","","31713 Herb Farm Circle","Albemarle","NC","28001",T,"MHL-084-057","GHA Autism Supports",08/19/2004,01/01/2018,12/31/2018,F,F,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,F,F,F,F,F,0,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,"","",0,0,F,"Dawn H Allen","(704)982-9600","","","","","","Dawn H Allen","","MHL"
"031013","Mental Health Homes","Carolina Farms Group Home #3","PO Box 2487","","Albemarle","NC","28002","Stanly","(704)983-2545","","(704)982-8155","","","31711 Herb Farm Circle","Albemarle","NC","28001",T,"MHL-084-061","GHA Autism Supports",10/05/2005,01/01/2018,12/31/2018,F,F,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,F,F,F,F,F,0,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,"","",0,0,F,"Dawn H Allen","(704)982-9600","","","","","","Dawn H Allen","","MHL"
"921625","Mental Health Homes","Cates Street ICF/MR","PO Box 721(202 North Main St.)","","Roxboro","NC","27573","Person","(336)599-0973","","(336)599-7220","","","306 Cates Street","Roxboro","NC","27573",T,"MHL-073-005","Person County Group Homes, Inc.",08/01/1991,01/01/2018,12/31/2018,T,F,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,F,F,F,F,F,0,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,"","",0,0,F,"Mr David Forsythe","(336)599-9421","","","","","","David Forsythe","","MHL"
"921633","Mental Health Homes","Chandler Road","2527 E. Lyon Station Rd","","Creedmoor","NC","27522","Durham","(919)598-2558","","(919)528-2971","","","342 Chandler Road","Durham","NC","27707",T,"MHL-032-043","RHA Health Services NC, LLC",09/01/1989,01/01/2018,12/31/2018,T,F,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,F,F,F,F,F,0,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,"","",0,0,F,"Carlos Scott","(919)528-2558","","RHA Health Management Services, LLC","17 Church Street Asheville, NC 28801","RHA/North Carolina MR Inc","3060Peachtree Road NW, 1 Buckhead Plaza Suite 900 Atlanta, GA 30305","RHA Health Services NC, LLC","17 Church Street Asheville, NC 28801","MHL"
"921645","Mental Health Homes","Cherryville ICF/MR Group Home","905-A North New Hope Road","","Gastonia","NC","28054","Gaston","(704)802-4037","","(704)802-4039","","","1102 Requa Road","Cherryville","NC","28021",T,"MHL-036-022","Gaston Residential Services, Inc.",08/01/1988,01/01/2018,12/31/2018,T,F,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,F,F,F,F,F,0,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,"","",0,0,F,"Ms Tonda S Stillwell","(704)861-9280","","The Arc of North Carolina","5509 A West Friendly Ave Suite 101 Greensboro, NC 27410","","","Rita Thout","","MHL"
"924798","Mental Health Homes","Chesterfield Group Home","P.O. Box 1080","","Lenoir","NC","28645","Burke","(828)433-5630","","(828)728-9953","","","2287 Hartland Road","Morganton","NC","28655",T,"MHL-012-051","ComServ, Inc.",04/22/1994,01/01/2018,12/31/2018,T,F,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,F,F,F,F,F,0,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,"","",0,0,F,"Paige Anderson","(828)728-9288","","ComServ, Inc.","P.O. Box 1080 Lenoir, NC 28645-","","","Dawn Kelly","","MHL"
"921653","Mental Health Homes","Chiles Avenue Group Home","46 St.Dunstans Circle","","Asheville","NC","28813","Buncombe","(828)254-8068","","(828)254-8068","","","22 Chiles Avenue","Asheville","NC","28803",T,"MHL-011-024","Mountain Area Residential Facilities, Inc.",01/28/1988,01/01/2018,12/31/2018,T,F,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,F,F,F,F,F,0,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,"","",0,0,F,"Amber Locklear","(828)299-3636","","","","","","Danielle Thuot","","MHL"
"956358","Mental Health Homes","Christopher Road","111 Providence Road","","Chapel Hill","NC","27514","Orange","(919)929-0732","","(919)933-4490","","","802 Christopher Road","Chapel Hill","NC","27514",T,"MHL-068-066","Residential Services, Inc.",09/19/1995,01/01/2018,12/31/2018,T,F,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,F,F,F,F,F,0,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,"","",0,0,F,"Debbie L Klein","(919)942-7391","","","","","","Scott A Keller","","MHL"
"951655","Mental Health Homes","Christy Woods Group Home","P.O. Box 909","","Concord","NC","28026-0909","Cabarrus","(704)436-6013","","(704)788-2951","","","10100 Mt. Olive Road","Mt. Pleasant","NC","28124",T,"MHL-013-018","Piedmont Residential Development Center, Inc.",01/30/1990,01/01/2018,12/31/2018,T,F,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,F,F,F,F,F,0,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,"","",0,0,F,"Lisa S Azzarello","(704)788-2304","","","","","","Lisa Azzarello","","MHL"
"922019","Mental Health Homes","Clear Creek","11950 Howell Center Dr","","Charlotte","NC","28227","Cabarrus","(704)545-7200","","(704)545-2670","","","11950 Howell Center Drive","Charlotte","NC","28227",T,"MHL-013-007","RHA Health Services NC, LLC",02/14/1986,01/01/2018,12/31/2018,T,F,120,0,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,F,F,F,F,F,0,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,"","",0,0,F,"Michelle Robertson","(704)545-7200","","RHA Health Management Services, LLC","17 Church Street Asheville, NC 28801-","Resource Healthcare of America Inc","One Buckhead Plaza   Suite 900, 3060 Peachtree NW Atlanta, GA 30305","RHA Health Services NC, LLC","17 Church Street Asheville, NC 28801","MHL"
"921564","Mental Health Homes","CLLC(Carolina Living & Learning Center)","CB #7180","","Chapel Hill","NC","27599-7180","Chatham","(919)542-1910","","(919)542-0978","","","325 Russet Run","Pittsboro","NC","27312",T,"MHL-019-007","University of North Carolina at Chapel Hill",08/29/1990,01/01/2018,12/31/2018,T,F,15,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,F,F,F,F,F,0,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,"","",0,0,F,"Gladys A Williams","(919)542-1910","","","","","","Carol L Folt","","MHL"
"921672","Mental Health Homes","College Park","15235 Airport Road","","Maxton","NC","28364","Scotland","(910)276-0011","","(910)844-9668","","","1900 Lake Drive","Laurinburg","NC","28352",T,"MHL-083-009","RHA Health Services NC, LLC",02/01/1990,01/01/2018,12/31/2018,T,F,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,F,F,F,F,F,0,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,"","",0,0,F,"Mr Randy R Robinson","(910)844-9664","","RHA Health Management Services, LLC","17 Church Street Ashveille, NC 28801","Resource Healthcare of America Inc","One Buckhead Plaza, Suite 900, 3060 Peachtree Rd NW Atlanta, GA 30305","RHA Health Services NC, LLC","17 Church Street Asheville, NC 28801","MHL"
"945333","Mental Health Homes","Corbel Residential","80 Alliance Drive","","Whiteville","NC","28472","Robeson","(910)738-1967","","(910)914-0011","","","483 Creek Road","Orrum","NC","28369",T,"MHL-078-069","Community Innovations, Inc.",11/18/1994,01/01/2018,12/31/2018,T,F,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,F,F,F,F,F,0,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,"","",0,0,F,"Otavia Floyd","(910)642-5697","","","","","","Community Based Care, LLC","315 Wilkesboro Blvd NE, Suite 2A Lenoir, NC 28645","MHL"
"921704","Mental Health Homes","Country Cove Group Home","145 Cane Creek Ind Park Rd, Ste 250","","Fletcher","NC","28732","Henderson","(828)698-0623","","(828)684-1553","","","28 Hillpark Drive","Hendersonville","NC","28739",T,"MHL-045-068","RHA Health Services NC, LLC",10/01/2006,01/01/2018,12/31/2018,F,F,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,F,F,F,F,F,0,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,"","",0,0,F,"Jane Rollins","(828)808-3237","","RHA Health Management Services, LLC","17 Church Street Asheville, NC 28801","","","RHA Health Services NC, LLC","17 Church Street Asheville, NC 28801","MHL"
"921705","Mental Health Homes","Country Lane","1200 Navaho Drive","","Raleigh","NC","27609","Wake","(919)552-5457","","(919)567-0144","","","534 Country Lane","Holly Springs","NC","27540",T,"MHL-092-101","VOCA Corporation of North Carolina",10/01/1991,01/01/2018,12/31/2018,T,F,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,F,F,F,F,F,0,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,"","",0,0,F,"Keisha Douglas","(919)387-1011","","","","VOCA Corporation of America","10140 Linn Station Road, Ronald Geary, Pres. Louisville, KY 40223","VOCA Corporation of America","","MHL"
