XFCOUNTY,XFACILITY,XCAP,LLICENSEE,XSADDR,XSCITY,XSSTATE,XSZIP,XFADDR1,XFADDR2,XFCITY,XFSTATE,XFZIP,XFPHONE,XFFAX,LLICENSNO,XFID,XSTATUS,STARS
"Alamance","Emmanuel Family Care II",6,"Emmanuel Family Care, LLC.","2655 White Oak Drive","Burlington","NC","27215","2655 White Oak Drive","","Burlington","NC","27215","(336)585-2025","(336)584-5037","FCL-001-102","041406","Active",4
"Alamance","Evans Forever Young Family Care Home",6,"Evans Forever Young Family Care, LLC","3746 Danieley-Water Wheel Road","Burlington","NC","27217-7925","3746 Danieley-Water Wheel Road","","Burlington","NC","27217-7925","(336)584-4500","(336)584-1968","FCL-001-051","945224","Active",4
"Alamance","Favor and Faith Family Care Home",6,"Favor and Faith Adult Care Home Inc.","217 N Gurney Street","Burlington","NC","27215","217 N Gurney Street","","Burlington","NC","27215","(336)350-1441","(336)350-8467","FCL-001-142","100128","Active",4
"Alamance","Favor and Faith Family Care Home 2 at Hall Avenue",6,"Mary Tyree","220 Hall Avenue","Burlington","NC","27217","217 North Gurney Street","","Burlington","NC","27215","(336)270-4898","(336)350-8467","FCL-001-167","920037","New",3
"Alamance","Garden Assisted Living",6,"Elvia Alvarado, Jocelyn Alvarado & Kevin Alvarado","3378 Garden Road","Burlington","NC","27215","646 Country Club Drive","","Burlington","NC","27215","(336)350-7055","(888)291-1615","FCL-001-165","150371","Active",0
"Alamance","Golden Years Family Care #2",6,"A. Evelyn Love","207 East. Sixth Street","Burlington","NC","27215-5730","P.O. Box 2828","","Burlington","NC","27216-2828","(336)229-0883","(336)222-9068","FCL-001-123","051159","Active",4
"Alamance","Golden Years Family Care Home",6,"Evelyn Love","205-A East Sixth Street","Burlington","NC","27215-5730","P.O. Box 2828","","Burlington","NC","27216-2828","(336)227-5854","(336)222-9068","FCL-001-109","030014","Active",4
"Alamance","Graham Drive Family Care",6,"Stella Fowler","509 Graham Drive","Graham","NC","27253","509 Graham Dr","","Graham","NC","27253","(336)228-1525","(336)228-1523","FCL-001-135","920401","Active",4
"Alamance","Guardian Angel",6,"Guardian Angel Family Care Home, Inc","1006 Richmond Avenue","Burlington","NC","27217","1006 Richmond Avenue","","Burlington","NC","27217","(336)222-0114","(336)222-0314","FCL-001-118","041153","Active",4
"Alamance","Gwen's Family Care Home II",4,"Gwendolyn Hunter","7964A County Line Road","Liberty","NC","27298","7964A County Line Road","","Liberty","NC","27298","(336)622-1842","(336)622-0443","FCL-001-058","960089","Active",3
"Alamance","Just Like Home Family Care",5,"Just Like Home Family Care, LLC","617 Durham Street","Burlington","NC","27217","605 Anna Drive","","Mebane","NC","27302","(336)229-1396","(   )   -","FCL-001-150","920772","Active",3
"Alamance","Just Like Home II",4,"Tameka Jackson","1017 S Church Street","Burlington","NC","27217","605 Anna Drive","","Mebane","NC","27302","(336)570-5955","(336)570-2124","FCL-001-163","150019","Active",3
"Alamance","L M & S Adult Care No. 2",5,"Stella B. Williamson","426 N. Main Street","Burlington","NC","27216","426 N. Main Street","","Burlington","NC","27216","(336)229-1824","(336)229-1824","FCL-001-063","960974","Active",4
"Alamance","Moher Family Care",5,"Anthony B Moore","206 Friendly Road","Burlington","NC","27215","PO Box 5144","","Burlington","NC","27216","(336)350-0296","(336)524-6133","FCL-001-107","050237","Active",4
"Alamance","Sheridanville",6,"Sheridanville, Inc","2051 Miles Chapel Road","Mebane","NC","27302","2051 Miles Chapel Road","","Mebane","NC","27302","(336)578-5774","(336)578-9074","FCL-001-023","920724","Active",4
"Alamance","Springview Assisted Living - Holt Building",6,"Springview Care Inc","1405 N. Sellars Mill Road Ext.","Burlington","NC","27217-2175","PO BOX 2175","","Burlington","NC","27216-2175","(336)570-9424","(336)222-1935","FCL-001-147","020983","Active",4
"Alamance","Springview Assisted Living - Phillips Building",6,"Springview Care Inc","414 Chapel Hill Road","Burlington","NC","27215-5651","PO Box 2175","","Burlington","NC","27216-2175","(336)222-0041","(336)222-0041","FCL-001-125","061238","Active",4
"Alamance","Springview Assisted Living Dix Building",6,"Springview Senior Living, Inc","350 N. Sellars Mill Road","Burlington","NC","27217","PO Box 2175","","Burlington","NC","27216","(336)513-0396","(336)222-1935","FCL-001-161","920226","Active",4
"Alamance","Visions at Hands",6,"Visions at Hand, LLC","1313 Eldrado Street","Burlington","NC","27217","209 Woxford Pl","","Burlington","NC","27215","(336)270-5648","(336)270-5648","FCL-001-168","041147","Ownership Changed",0
"Alamance","Warren Care Services",6,"Warren Care Services, LLC","1237 Westmoreland Drive","Burlington","NC","27216","PO Box 390471","","Snellville","GA","30039","(336)270-5259","(800)514-5942","FCL-001-137","090250","Active",3
"Alamance","We Care Family Care",6,"Sharon Bruce","1718 Morgantown Road","Burlington","NC","27217","1718 Morgantown Road","","Burlington","NC","27217","(336)570-0770","(336)570-0775","FCL-001-113","050239","Active",3
"Alamance","Your Grace & Mercy Family Care Home",3,"Febbie G. Wilson","919 Elm Street","Burlington","NC","27217","919 Elm Street","","Burlington","NC","27217","(336)222-0312","(336)222-0312","FCL-001-133","070244","Active",3
"Alexander","Sarah's House",6,"Bobby Abbott","21 College Road Extension","Taylorsville","NC","28681","PO Box 178","","Taylorsville","NC","28681","(828)352-9526","(828)352-9534","FCL-002-006","061237","Active",4
"Ashe","Ashe Family Care Home #1",6,"Deborah Hart","523 Milt Houck Road","Todd","NC","28684","523 Milt Houck Road","","Todd","NC","28684","(336)877-5513","(336)877-5513","FCL-005-018","020238","Active",4
"Ashe","Ashe Family Care Home #3",6,"Deborah Hart","523 Milt Houck Road","Todd","NC","28684","523 Milt Houck Road","","Todd","NC","28684","(336)877-5513","(336)877-5513","FCL-005-019","020240","Active",4
"Ashe","Ashe Family Care Home #4",6,"Deborah Hart","523 Milt Houck Road","Todd","NC","28684","523 Milt Houck Road","","Todd","NC","28684","(336)877-5513","(336)877-5513","FCL-005-017","040772","Active",4
"Ashe","Ashe Family Care Homes #2",6,"Deborah Hart","523 Milt Houck Road","Todd","NC","28684","523 Milt Houck Road","","Todd","NC","28684","(336)877-5513","(336)877-5513","FCL-005-016","020239","Active",4
"Beaufort","Wooded Acres Guest Home",6,"Wooded Acres Guest Home Inc.","3636 Cherry Road","Washington","NC","27889","3706 Cherry Road","","Washington","NC","27889","(252)975-6634","(252)946-2324","FCL-007-017","110024","Active",3
"Bertie","A Sharpe Haven",6,"The Blacknall Felton Group, LLC","222 Connarista Road","Kelford","NC","27847","222 Connaritsa Road","","Kelford","NC","27847","(252)348-8842","(252)348-2050","FCL-008-038","070101","Active",1
"Bertie","Cherry's Family Care Home # 3",6,"Calandra Cherry","106 Harmon Street","Aulander","NC","27805","P O Box 236","","Aulander","NC","27805","(252)345-1338","(252)345-1338","FCL-008-032","944447","Active",4
"Bertie","Hawthorn House",6,"Barbara Davenport","1025 Highway 45 North","Merry Hill","NC","27957","1025 Highway 45 North","","Merry Hill","NC","27957","(252)209-6986","(252)356-2610","FCL-008-025","080149","Active",4
"Bertie","Help Center",5,"Marcia Winston","340 School Road","Windsor","NC","27983","340 School Road","","Windsor","NC","27983","(252)794-0168","(888)269-1341","FCL-008-040","030141","Active",3
"Bertie","Moore's Family Care",5,"Ava Moore-Daniels","154 Hwy NC 42","Powellsville","NC","27967-0218","PO Box 218","","Powellsville","NC","27967","(252)332-6804","(252)332-5199","FCL-008-031","120010","Active",4
"Bertie","Moore's Family Care II",6,"Ava Moore-Daniels","158 Hwy NC 42","Powellsville","NC","27967","PO Box 218","","Powellsville","NC","27967","(252)209-6071","(252)332-5199","FCL-008-042","160072","Active",0
"Bertie","Pathways",6,"Vanderbill Cherry, Jr","743 Charles Taylor Road","Aulander","NC","27805","P.O. Box 789","","Aulander","NC","27805","(252)325-2977","(252)345-3732","FCL-008-030","920203","Active",3
"Bertie","Pathways II",6,"Vanderbill Cherry, Jr.","812 Charles Taylor Road","Aulander","NC","27805","P O Box 789","","Aulander","NC","27805","(252)325-2977","(252)345-3732","FCL-008-001","920204","Active",4
"Bertie","Pathways III",4,"Vanderbill Cherry Jr","1215 Charles Taylor Road","Aulander","NC","27805","PO Box 789","","Aulander","NC","27805","(252)348-4005","(252)345-3732","FCL-008-019","030654","Active",4
"Bertie","Pathways IV",4,"Vanderbill Cherry, Jr./Etoria M. Cherry","410 Commerce Street","Aulander","NC","27805","PO Box 789","","Aulander","NC","27805","(252)325-2977","(252)345-3732","FCL-008-009","960481","Active",4
"Bertie","The Home Place",6,"Tonya Freeman","404 W. River Street","Colerain","NC","27924","404 W. River Street","","Colerain","NC","27924","(252)356-9954","(252)356-9954","FCL-008-043","170142","Active",0
"Bertie","Virginia's Place",6,"Touching Lives, Inc","1517 Governor's Road","Windsor","NC","27983","PO Box 1347","","Windsor","NC","27983","(252)348-2007","(252)348-2050","FCL-008-029","070624","Active",3
"Bladen","A & C Family Care",6,"A & C Family Care, Inc.","3012 Burney Road","Bladenboro","NC","28320","3054 Burney Road","","Bladenboro","NC","28320","(910)874-2403","(910)648-2401","FCL-009-020","020457","Active",4
"Bladen","Bridgers Family Care Home",3,"Bridgers Family Care Home, Inc.","19 Poe Elkins Road","Clarkton","NC","28433","19 Poe Elkins Road","","Clarkton","NC","28433","(910)645-4042","(910)645-6259","FCL-009-018","980327","Active",4
"Bladen","Comfort Living Family Care Home",5,"Michael Dove","7264 NC Hwy 211 West","Bladenboro","NC","28320","P.O. Box 1331","","Bladenboro","NC","28320","(910)991-6603","(910)863-3139","FCL-009-022","060471","Active",3
"Bladen","Eastland Home",6,"Elsie M. Blackwell","2137 Spring Branch Road","Tar Heel","NC","28392","PO Box 152","","Tar Heel","NC","28392","(910)862-2696","(910)862-2696","FCL-009-004","920343","Active",3
"Bladen","Oak Grove Family Care Home",6,"Pamela Ward","583 Sasafras Road","Bladenboro","NC","28320","PO Box 772","","Bladenboro","NC","28320","(910)876-3598","(910)863-4031","FCL-009-028","920862","Active",3
"Bladen","Oak Grove Family Care Home #2",6,"Pamela Ward","7288 Highway 211","Bladenboro","NC","28320","P O Box 772","","Bladenboro","NC","28320","(910)863-3598","(910)863-4031","FCL-009-017","960617","Active",4
"Bladen","Singletary Family Care Home",6,"Allen Singletary, Keith Singletary","20521 NC 410 South","Bladenboro","NC","28320","20521 NC 410 South","","Bladenboro","NC","28320","(910)648-2700","(910)648-2322","FCL-009-009","921111","Active",3
"Bladen","Singletary Family Care Home #2",6,"Allen Singletary & Keith Singletary","20489 NC 410 South","Bladenboro","NC","28320","20521 NC 410 South","","Bladenboro","NC","28320","(910)648-2700","(910)648-2322","FCL-009-010","921110","Active",3
"Bladen","Turner's Family Care Home #1",6,"Turner's Family Care Home, LLC","2105 NC 410 Hwy","Bladenboro","NC","28320","2105 NC 410 Hwy","","Bladenboro","NC","28320","(910)876-7424","(910)863-7006","FCL-009-030","160276","New",0
"Buncombe","Alverta Bolick Home",6,"Baptist Children's Home Of NC, Inc","80 Baker Avenue","Asheville","NC","28806-3500","1425 Old 60","","Wilkesboro","NC","28697","(828)350-1254","(828)350-7787","FCL-011-225","060281","Active",4
"Buncombe","Angel House 1",6,"Angel House Family Care Homes, LLC","60-D Hornot Circle","Asheville","NC","28806-3949","60-D Hornot Circle","","Asheville","NC","28806-3949","(828)285-0460","(828)285-0460","FCL-011-127","921016","Active",4
"Buncombe","Angel House 2",6,"Angel House Family Care Homes, LLC","60 G Hornot Circle","Asheville","NC","28806-3949","60 D Hornot Circle","","Asheville","NC","28806-3949","(828)225-4829","(828)225-4829","FCL-011-154","944562","Active",4
"Buncombe","Angel House III",6,"Angel House Family Care Homes, LLC","60-A Hornot Circle","Asheville","NC","28806-3949","60 D Hornot Circle","","Asheville","NC","28806-3949","(828)251-6303","(828)251-6303","FCL-011-263","921014","Active",4
"Buncombe","Angel House IV",6,"Angel House Family Care Homes, LLC","60-B Hornot Circle","Asheville","NC","28806-3949","60 D Hornot Circle","","Asheville","NC","28806-3949","(828)255-2598","(828)255-2598","FCL-011-264","921015","Active",3
"Buncombe","Angel House V",6,"Angel House Family Care Home, LLC","60 E Hornot Circle","Asheville","NC","28806-3949","60 D Hornot Circle","","Asheville","NC","28806-3949","(828)252-8081","(828)252-8081","FCL-011-268","921017","Active",3
"Buncombe","Angel House VI",6,"Angel House Family Care Home, LLC","60-F Hornot Circle","Asheville","NC","28806-3949","60 D Hornot Circle","","Asheville","NC","28806-3949","(828)252-4959","(828)252-4959","FCL-011-269","931018","Active",3
"Buncombe","Angel House VII",6,"Angel House Family Care Home, LLC","60-C Hornot Circle","Asheville","NC","28806-3949","60 D Hornot Circle","","Asheville","NC","28806-3949","(828)259-9364","(828)259-9364","FCL-011-295","944561","Active",4
"Buncombe","Autumn View Assisted Living #1",6,"Soundview Family Care Homes, Inc.","230 Country Time Circle","Leicester","NC","28728","P O Box 272","","East Flat Rock","NC","28726","(828)515-5206","(828)515-5206","FCL-011-380","960520","Ownership Changed",3
"Buncombe","Autumn View Assisted Living #2",6,"Soundview Family Care Homes, Inc","231 Country Time Circle","Leicester","NC","28748","P O Box 272","","East Flat Rock","NC","28726","(828)515-5205","(828)515-5205","FCL-011-375","961011","Ownership Changed",3
"Buncombe","Autumn View Assisted Living #3",6,"Soundview Family Care Home, Inc","232 Country Time Circle","Leicester","NC","28748","P O Box 272","","East Flat Rock","NC","28726","(828)515-5202","(828)515-5197","FCL-011-376","961010","Ownership Changed",1
"Buncombe","Autumn View Assisted Living #4",6,"Soundview Family Care Home, Inc","233 Country Time  Circle","Leicester","NC","28748","P O Box 272","","East Flat Rock","NC","28726","(828)515-5204","(828)515-5192","FCL-011-377","970850","Ownership Changed",3
"Buncombe","Autumn View Assisted Living #5",6,"Soundview Family Care Homes, Inc","234 Country Time Circle","Leicester","NC","28748","P O Box 272","","East Flat Rock","NC","28726","(828)515-5201","(828)515-5194","FCL-011-378","970849","Ownership Changed",0
"Buncombe","Autumn View Assisted Living #6",6,"Soundview Family Care Homes, Inc.","235 Country Time Circle","Leicester","NC","28748","P O Box 272","","East Flat  Rock","NC","28726","(828)515-5203","(828)515-5193","FCL-011-379","970848","Ownership Changed",3
"Buncombe","Deaverview HGTS FCH",6,"Haywood Heights Family Care Home, Inc.","290 Deaverview Road","Asheville","NC","28806","356 Old County Home Road","","Asheville","NC","28806","(828)505-8030","(828)505-8030","FCL-011-307","920747","Active",3
"Buncombe","Evergreen Living Home  #10",6,"Evergreen Living Home, Inc","236 Country Time Circle","Leicester","NC","28748","PO Box 2077","","Leicester","NC","28748","(828)683-7708","(828)665-8787","FCL-011-223","961009","Active",3
"Buncombe","Evergreen Living Home  #13",6,"Evergreen Living Home, Inc","353 Family Ridge Road","Leicester","NC","28748","P O Box 2077","","Leicester","NC","28748","(828)683-7716","(828)665-8787","FCL-011-198","970866","Active",3
"Buncombe","Evergreen Living Home #1",6,"Evergreen Living Home, Inc","101 Country Time Lane","Leicester","NC","28748","P O Box 2077","","Leicester","NC","28748","(882)683-3823","(828)665-8787","FCL-011-193","960221","Active",4
"Buncombe","Evergreen Living Home #11",6,"Evergreen Living Home, Inc","351 Family Ridge Road","Leicester","NC","28748","P O Box 2077","","Leicester","NC","28748","(828)683-7714","(828)665-8787","FCL-011-196","971217","Active",3
"Buncombe","Evergreen Living Home #12",6,"Evergreen Living Home, Inc","352 Family Ridge Road","Leicester","NC","28748","P O Box 2077","","Leicester","NC","28748","(828)683-7715","(828)665-8787","FCL-011-288","971218","Active",3
"Buncombe","Evergreen Living Home #2",6,"Evergreen Living Home, Inc","102 Country Time Lane","Leicester","NC","28748","P O Box 2077","","Leicester","NC","28748","(828)779-5588","(828)665-8787","FCL-011-194","960222","Active",0
"Buncombe","Evergreen Living Home #3",6,"Evergreen Living Home, Inc","103 Country Time Lane","Leicester","NC","28748","P O Box 2077","","Leicester","NC","28748","(828)683-8585","(828)665-8787","FCL-011-195","960518","Active",3
"Buncombe","Fairview Family Care Home #1",6,"Shirley Creech","256 Gravely Branch Road","Fletcher","NC","28732","P.O. Box 68","","Fletcher","NC","28732","(828)628-1685","(828)628-1192","FCL-011-022","920375","Active",2
"Buncombe","Fairview Family Care Home #2",6,"Shirley Creech","256 Gravely Branch Road","Fletcher","NC","28732","P O Box 68","","Fletcher","NC","28732","(828)628-1685","(828)628-1192","FCL-011-023","920376","Active",3
"Buncombe","Fairview Family Care Home #3",6,"Shirley Creech","256 Gravely Branch Road","Fletcher","NC","28732","256 Gravely Branch Road","","Fletcher","NC","28732","(828)628-1685","(828)628-1192","FCL-011-024","920377","Active",2
"Buncombe","Fairview Family Care Home #4",6,"Shirley Creech","256 Gravely Branch Road","Fletcher","NC","28732","256 Gravely Branch Road","","Fletcher","NC","28732","(828)628-0146","(828)628-1192","FCL-011-025","920378","Active",3
"Buncombe","Golden Brook Assisted Living",6,"Mitchell Heights, LLC","10 South Turkey Creek Road","Leicester","NC","28748","PO Box 1807","","Leicester","NC","28748","(828)683-4792","(828)515-0180","FCL-011-330","920762","Active",4
"Buncombe","Haywood Heights Family Care Home",6,"Haywood Heights Family Care Homes, Inc.","17 Euclid Boulevard","Asheville","NC","28806","356 Old County Home Road","","Asheville","NC","28801","(828)505-8025","(828)505-8025","FCL-011-298","956135","Active",3
"Buncombe","Heart And Hearth",6,"Heart and Hearth, LLC","2200 New Leicester Highway","Asheville","NC","28806","2200 New Leicester Hwy","","Asheville","NC","28806","(828)683-9441","","FCL-011-249","020631","Active",3
"Buncombe","Holmes Family Care Home",6,"Debora Holmes-Young","28 Crest Avenue","Asheville","NC","28803","28 Crest Avenue","","Asheville","NC","28803","(828)274-1374","(828)274-8666","FCL-011-017","920562","Active",4
"Buncombe","JoAnn's Family Care Home",5,"JoAnn Reese","245 Anchor Drive","Alexander","NC","28701","245 Anchor Drive","","Alexander","NC","28701","(828)683-0898","(828)683-0604","FCL-011-199","940414","Active",4
"Buncombe","Knob Hill Family Care Home",6,"Evergreen Living Home, Inc","90 Knob Hill Road","Asheville","NC","28806","P.O. Box 2077","","Leicester","NC","28748","(828)779-5588","(828)665-8787","FCL-011-286","920635","Active",0
"Buncombe","Leicester Heights Family Care",6,"Martha A. Plemmons","16 Overlook Drive","Leicester","NC","28748","PO Box 17426","","Asheville","NC","28816","(828)691-0334","(828)683-3771","FCL-011-021","950668","Active",2
"Buncombe","Mayflower Senior Care",6,"Mayflower Senior Care, Inc.","48 Roberts Cove Road","Weaverville","NC","28787","48 Roberts Cove Road","","Weaverville","NC","28787","(828)645-5284","(828)658-3257","FCL-011-187","980086","Active",4
"Buncombe","Mountain Valley Retirement Home",6,"Mountain Valley Retirement Home, Inc","630 Dillingham Road","Barnardsville","NC","28709","PO Box 87","","Barnardsville","NC","28709-9717","(828)626-2914","(828)626-2889","FCL-011-032","920823","Active",3
"Buncombe","Mt. Pisgah Family Care Home",6,"Evergreen Living Home, Inc","33 Upper Saw Branch Rd.","Candler","NC","28715","PO Box 1071","","Candler","NC","28715","(828)779-5588","(828)665-8787","FCL-011-287","920834","Active",3
"Buncombe","North Ridge Assisted Living  #4",6,"Tammy Tate","26 Melody Rose Lane","Asheville","NC","28804","26 Melody Rose Lane","","Asheville","NC","28804","(828)484-9092","(828)484-9092","FCL-011-294","920790","Active",4
"Buncombe","North Ridge Assisted Living # 1",6,"Tammy Tate","45 Melody Rose Lane","Asheville","NC","28804","45 Melody Rose Lane","","Asheville","NC","28804","(828)645-1349","(828)645-1349","FCL-011-385","920791","Active",3
"Buncombe","North Ridge Assisted Living # 2",6,"Tammy Tate","39 Melody Rose Lane","Asheville","NC","28804","39 Melody Rose Lane","","Asheville","NC","28804","(828)484-8386","(828)484-9092","FCL-011-345","920792","Active",4
"Buncombe","North Ridge Assisted Living # 3",6,"Wanda Caldwell","34 Melody Rose Lane","Asheville","NC","28804","P.O. Box 1807","","Leicester","NC","28748","(828)658-2633","(   )   -","FCL-011-308","940788","Active",4
"Buncombe","North Ridge Assisted Living # 5",6,"Jon McDonald & Howard McDonald","20 Melody Rose Lane","Asheville","NC","28804","20 Melody Rose Lane","","Asheville","NC","28804","(828)484-9813","(828)484-9092","FCL-011-293","920789","Active",4
"Buncombe","Plemmons Family Care Home #1",5,"Martha Plemmons","303 Hi Alta Avenue","Asheville","NC","28806","PO Box 17426","","Asheville","NC","28816","(828)691-0334","(828)683-3771","FCL-011-035","920956","Active",2
"Buncombe","Redeemed Family Care Home of Leicester",5,"Teresa Surrett","10 Mint Lane","Asheville","NC","28806","PO Box 87","","Bernardsville","NC","28709","(828)206-2324","(828)505-4919","FCL-011-362","920366","Active",1
"Buncombe","Riverside Village Homes Unit G",6,"Riverside Village Homes, Inc.","132 Center Avenue","Black Mountain","NC","28711","PO Box 897","","Black Mountain","NC","28711","(828)669-2537","(828)738-2283","FCL-011-360","944996","Active",3
"Buncombe","Riverside Village Homes Unit H",6,"Riverside Village Homes, Inc.","134 Center Avenue","Black Mountain","NC","28711","PO Box 897","","East Flat Rock","NC","28726-0272","(828)669-5216","(828)738-2283","FCL-011-357","960731","Active",4
"Buncombe","Riverside Village Homes Unit I",6,"Riverside Village Homes, Inc.","136 Center Avenue","Black Mountain","NC","28711","PO Box 272","","East Flat Rock","NC","28726-0272","(828)669-6783","(828)738-2283","FCL-011-359","955452","Active",3
"Buncombe","Riverside Village Homes Unit J",6,"Riverside Village Homes, Inc.","138 Center Avenue","Black Mountain","NC","28711","PO Box 897","","Black Mountain","NC","28711","(828)357-8545","(828)738-2283","FCL-011-358","970867","Active",4
"Buncombe","Soundview II #1",6,"Jose Ortiz","36 Smith Graveyard Road","Asheville","NC","28806","PO Box 272","","E Flat Rock","NC","28726","(828)505-2310","(828)505-2310","FCL-011-383","960729","Ownership Changed",4
"Buncombe","Soundview II #2",6,"Jose Ortiz","34 Smith Graveyard Road","Asheville","NC","28806","PO Box 272","","East Flat Rock","NC","28726","(828)505-3671","(828)505-3671","FCL-011-382","960728","Ownership Changed",4
"Buncombe","Soundview II #4",6,"Jose Ortiz","30 Smith Graveyard Road","Asheville","NC","28806-9655","P.O. Box 272","","E Flat Rock","NC","28726","(828)505-3223","(828)505-3223","FCL-011-381","960726","Ownership Changed",4
"Buncombe","Soundview II #94",6,"Jose Ortiz","94 Millbrook Road","Asheville","NC","28806","PO Box 272","","E Flat  Rock","NC","28726","(828)785-1540","(828)785-1542","FCL-011-384","940422","Ownership Changed",4
"Buncombe","St. Mary Rosa's Family Care Home",6,"Chloris Gail Atkinson","483 Caribou Road","Asheville","NC","28803","483 Caribou Road","","Asheville","NC","28803-1616","(828)274-0065","(828)274-0065","FCL-011-326","921259","Active",3
"Buncombe","Westside Assisted Living - A",6,"Tammy Tate","119 Richland Street","Asheville","NC","28806","119 Richland Street","","Asheville","NC","28806","(828)281-4863","(828)281-4863","FCL-011-372","990746","Active",4
"Buncombe","Westside Assisted Living - B",6,"Tammy Tate","121 Richland Street","Asheville","NC","28806","121 Richland Street","","Asheville","NC","28806","(828)505-8110","(828)505-8110","FCL-011-371","990747","Active",3
"Buncombe","White Fawn Family Care Home",6,"Haywood Heights Family Care Home, Inc.","96 White Fawn Drive","Asheville","NC","28803","356 Old County Home Rd","","Asheville","NC","28801","(828)505-7858","(828)505-7858","FCL-011-297","921329","Active",2
"Buncombe","Woodland Terrace FCH # 2",6,"Ricardo & Denise Duprey","32 Smith Graveyard Road","Asheville","NC","28806","PO Box 513","","Asheville","NC","28802","(828)255-2869","(828)255-2869","FCL-011-277","960727","Active",3
