OBJECTID,ID,NAME,TELEPHONE,ADDRESS,ADDRESS2,CITY,STATE,ZIP,ZIPP4,COUNTY,FIPS,DIRECTIONS,EMERGTITLE,EMERGTEL,EMERGEXT,CONTDATE,CONTHOW,GEODATE,GEOHOW,HSIPTHEMES,NAICSCODE,NAICSDESCR,GEOLINKID,X,Y,ST_VENDOR,ST_VERSION,GEOPREC,PHONELOC,QC_QA,UCAOA_ID
3165,10192682,NOVANT URGENT CARE - SHALLOTTE,910-755-5440,4503 MAIN STREET, ,SHALLOTTE,NC,28470,4447,BRUNSWICK,37019,LOCATED ON THE SOUTH SIDE OF MAIN ST BETWEEN DOOGLE LN AND COMMERCE ST, , , ,2009-05-21T00:00:00.000Z,PHONE,2009-05-21T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",102424267,-78.3705451,33.9827543,NAVTEQ,2008Q1,ONENTITY,YES,TGS,UC_2354
3166,10843782,NEXTCARE URGENT CARE - ASHEVILLE,828-281-8131,136 MIMOSA DRIVE, ,ASHEVILLE,NC,28806,1719,BUNCOMBE,37021,LOCATED ON THE SOUTH SIDE OF MIMOSA DR BETWEEN PATTON AVE AND SCHOOL RD, , , ,2009-07-17T00:00:00.000Z,PHONE,2009-07-17T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",124716899,-82.6146748,35.5737704,NAVTEQ,2008Q1,ONENTITY,YES,TGS, 
3170,11527293,GUARDIAN HART MEDICAL CARE,910-221-1590,1074 SOUTHERN AVENUE, ,FAYETTEVILLE,NC,28306,1766,CUMBERLAND,37051,LOCATED ON THE NORTHWEST SIDE OF SOUTHERN AVENUE DIRECTLY ACROSS FROM MAY STREET, , , ,2009-04-21T00:00:00.000Z,PHONE,2009-04-21T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",102406601,-78.8956151,35.0302175,NAVTEQ,2008Q1,ONENTITY,YES,TGS, 
3174,10421895,URGENT MEDICAL AND FAMILY CARE,336-299-0000,102 POMONA DRIVE, ,GREENSBORO,NC,27407,1616,GUILFORD,37081,LOCATED ON THE WEST SIDE OF POMONA DRIVE LESS THAN .10 MILES SOUTH OF THE INTERSECTION OF WEST MARKET STREET AND POMONA DRIVE., , , ,2009-01-09T00:00:00.000Z,PHONE,2009-01-09T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",17063112,-79.8619912,36.0695699,NAVTEQ,2008Q1,ONENTITY,YES,TGS,UC_2351
3188,10193911,FASTMED URGENT CARE - WAKE FOREST,919-562-3155,2001 SOUTH MAIN STREET, ,WAKE FOREST,NC,27587,1612,WAKE,37183,LOCATED ON THE SOUTHWEST CORNER OF THE INTERSECTION OF S MAIN ST AND LIGON MILL RD., , , ,2009-01-29T00:00:00.000Z,PHONE,2009-01-22T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",17091541,-78.5312062,35.9490999,NAVTEQ,2008Q1,ONENTITY,YES,TGS,UC_2386
3189,11521674,NOVANT URGENT CARE - SOUTHPORT,910-454-8889,1456 NORTH HOWE STREET, ,SOUTHPORT,NC,28461,2754,BRUNSWICK,37019,NE SIDE OF N HOWE ST ABOUT .1 MI SE OF RIVER RD SE., , , ,2009-03-17T00:00:00.000Z,PHONE,2009-03-17T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",125475656,-78.0254211,33.9378576,NAVTEQ,2008Q1,ONENTITY,YES,TGS, 
3199,11527256,SURF CITY URGENT CARE AND FAMILY MEDICINE,910-329-9812,13520 STATE HIGHWAY 50, ,SURF CITY,NC,28445, ,PENDER,37141,LOCATED ON THE EAST SIDE OF NC-50 APPROX. 0.10 MILE SOUTH OF BELT RD, , , ,2009-04-16T00:00:00.000Z,PHONE,2009-04-16T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",125329279,-77.5617019,34.4486279,NAVTEQ,2008Q1,ONENTITY,YES,TGS, 
3208,10193934,FRIENDLY URGENT AND FAMILY CARE,336-218-0994,5409 WEST FRIENDLY AVENUE, ,GREENSBORO,NC,27410,4209,GUILFORD,37081,LOCATED ON THE SOUTH SIDE OF WEST FRIENDLY AVENUE LESS THAN .10 MILES WEST OF THE INTERSECTION OF MUIRS CHAPEL ROAD AND WEST FRIENDLY AVENUE., , , ,2009-01-09T00:00:00.000Z,PHONE,2009-01-09T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",17123001,-79.8815049,36.0886975,NAVTEQ,2008Q1,ONENTITY,YES,TGS,UC_2439
3233,10993639,RX URGENT CARE - NORTH RALEIGH,919-719-2260,10880 DURANT ROAD,SUITE 110,RALEIGH,NC,27614,9802,WAKE,37183,"LOCATED ON THE NORTH SIDE OF DURANT RD, .3 MILES EAST OF THE INTERSECTION OF DURANT RD AND FALLS OF NEUSE RD.", , , ,2009-01-23T00:00:00.000Z,PHONE,2009-01-23T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",127872095,-78.5948612,35.9075209,NAVTEQ,2008Q1,ONENTITY,YES,TGS, 
3245,10993642,NEXTCARE URGENT CARE - FALLS VALLEY DRIVE,919-846-3522,1911 FALLS VALLEY DRIVE,SUITE 100,RALEIGH,NC,27615,3446,WAKE,37183,LOCATED ON THE EAST CORNER OF THE INTERSECTION OF FALLS OF NEUSE RD AND FALLS VALLEY DR., , , ,2009-01-23T00:00:00.000Z,PHONE,2009-01-23T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",112130113,-78.6078424,35.8988282,NAVTEQ,2008Q1,ONENTITY,YES,TGS, 
3255,10844035,CONCENTRA URGENT CARE - RALEIGH,919-790-0288,4909 GREEN ROAD, ,RALEIGH,NC,27616,2831,WAKE,37183,"LOCATED ON THE WEST SIDE OF GREEN RD, .2 MILES SOUTH OF THE INTERSECTION OF SPRING FOREST RD AND GREEN RD.", , , ,2009-01-22T00:00:00.000Z,PHONE,2009-01-22T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",17102150,-78.5868972,35.852315,NAVTEQ,2008Q1,ONENTITY,YES,TGS, 
3268,10993638,RX URGENT CARE - WEST RALEIGH,919-719-2250,3100 BLUE RIDGE ROAD,SUITE 103,RALEIGH,NC,27612,8002,WAKE,37183,LOCATED ON THE SOUTHEAST SIDE OF BLUE RIDGE RD APPROX .1 MILES SOUTHWEST OF THE INTERSECTION WITH ED DR., , , ,2009-01-23T00:00:00.000Z,PHONE,2009-01-23T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",17104880,-78.7039652,35.8211227,NAVTEQ,2008Q1,ONENTITY,YES,TGS, 
3290,10421907,RALEIGH URGENT CARE CENTER,919-231-3131,2600 NEW BERN AVENUE, ,RALEIGH,NC,27610,1821,WAKE,37183,"LOCATED ON THE SOUTHEAST SIDE OF NEW BERN AVE, LESS THAN .1 MILES NORTHEAST OF THE INTERSECTION OF NEW BERN AVE AND DONALD ROSS DR.", , , ,2009-01-23T00:00:00.000Z,PHONE,2009-01-23T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",17110350,-78.5914913,35.7832415,NAVTEQ,2008Q1,ONENTITY,YES,TGS,UC_2402
3294,10993736,COMMUNITY URGENT CARE AND FAMILY MEDICINE,919-365-9045,2469 WENDELL BOULEVARD, ,WENDELL,NC,27591,6903,WAKE,37183,"LOCATED ON THE NORTHEAST SIDE OF WENDELL BLVD, BETWEEN .1 AND .2 MILES EAST OF THE INTERSECTION OF WENDELL BLVD AND LILES DEAN RD.", , , ,2009-01-29T00:00:00.000Z,PHONE,2009-01-29T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",17128166,-78.3867405,35.7993114,NAVTEQ,2008Q1,ONENTITY,YES,TGS, 
3295,10193938,NEXTCARE URGENT CARE - RALEIGH,919-788-0099,6801 PLEASANT PINES DRIVE, ,RALEIGH,NC,27613,1925,WAKE,37183,LOCATED ON THE SOUTHWEST CORNER OF THE INTERSECTION OF LYNN RD AND PLEASANT PINES DR., , , ,2009-01-23T00:00:00.000Z,PHONE,2009-01-23T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",127874969,-78.7133885,35.8729123,NAVTEQ,2008Q1,ONENTITY,YES,TGS,UC_2453
3296,10193919,ACCENT URGENT CARE AND AFTER HOURS PEDIATRICS,919-789-4322,2406 BLUE RIDGE ROAD,SUITE 190,RALEIGH,NC,27607,6680,WAKE,37183,LOCATED IN THE NORTHEAST CORNER OF THE INTERSECTION OF HARDEN RD AND BLUE RIDGE RD., , , ,2009-01-22T00:00:00.000Z,PHONE,2009-01-22T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",17105561,-78.7047832,35.8137262,NAVTEQ,2008Q1,ONENTITY,YES,TGS,UC_2400
3297,10193923,MEDFIRST MEDICAL CENTER,919-878-4647,2731 CAPITAL BOULEVARD,SUITE B,RALEIGH,NC,27604,1509,WAKE,37183,LOCATED ON THE NORTHWEST CORNER OF THE INTERSECTION OF CAPITAL BLVD AND HIGHWOODS BLVD., , , ,2009-01-23T00:00:00.000Z,PHONE,2009-01-23T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",127861884,-78.601306,35.8170553,NAVTEQ,2008Q1,ONENTITY,YES,TGS,UC_2406
3299,10192159,RAPID RESPONSE URGENT CARE INCORPORATED,919-779-7890,220 UNITED STATES HIGHWAY 70 WEST, ,GARNER,NC,27529, ,WAKE,37183,ENTITY IS LOCATED ON THE NORTH SIDE OF US HIGHWAY 70 WEST .09 MILE NORTHWEST FROM MONTAGUE STREET, , , ,2006-12-19T00:00:00.000Z,PHONE,2006-12-19T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",17005189,-78.6103008,35.7058224,NAVTEQ,2006Q3,ONENTITY,YES,TGS,UC_2397
3304,11521676,CHICORA URGENT CARE,910-755-6300,20 MEDICAL CAMPUS DRIVE,SUITE 106-A,SUPPLY,NC,28462,4094,BRUNSWICK,37019,LOCATED ON THE NW CORNER OF THE INTERSECTION OF PHYSICIANS DR NW AND MEDICAL CAMPUS DR, , , ,2009-03-17T00:00:00.000Z,PHONE,2009-03-17T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",737552688,-78.2832758,34.0148889,NAVTEQ,2008Q1,ONENTITY,YES,TGS, 
3307,11521663,INNER BANKS INTERNAL MEDICINE,252-948-3200,608 EAST 12TH STREET, ,WASHINGTON,NC,27889,3409,BEAUFORT,37013,LOCATED ON THE N SIDE OF E 12TH ST LESS THAN .1 MI E OF N BROWN ST, , , ,2009-03-17T00:00:00.000Z,PHONE,2009-03-17T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",118912705,-77.0396973,35.5493238,NAVTEQ,2008Q1,ONENTITY,YES,TGS, 
3313,10192146,MEDICAL FAST URGENT CARE,919-894-3321,125 EAST MAIN STREET, ,BENSON,NC,27504,1506,JOHNSTON,37101,"LOCATED ON THE NORTHEAST SIDE OF EAST MAIN STREET, BETWEEN SOUTHEAST RAILROAD STREET AND SOUTH GILBERT STREET.", , , ,2006-12-19T00:00:00.000Z,PHONE,2006-12-19T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",127920458,-78.5473336,35.3813048,NAVTEQ,2006Q3,ONENTITY,YES,TGS,UC_2364
3315,10192173,TRIANGLE ORTHOPEDIC ASSOCIATES - URGENT CARE CENTER,919-220-5255,120 WILLIAM PENN PLAZA,INDEPENDENCE PARK,DURHAM,NC,27704,2150,DURHAM,37063,"SOUTH SIDE OF WILLIAM PENN PLZ, BETWEEN N ROXBORO STREET AND BEN FRANKLIN BLVD", , , ,2006-12-19T00:00:00.000Z,PHONE,2006-12-19T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",17083215,-78.8997821,36.0427997,NAVTEQ,2008Q1,BLOCKFACE,YES,TGS,UC_2362
3326,10421924,PHYSICIANS PRIME CARE CENTER,252-523-3111,2908 NORTH HERRITAGE STREET, ,KINSTON,NC,28501,1580,LENOIR,37107,IN BETWEEN DOCTORS DR AND AIRPORT RD. LOCATED ON THE NORTH SIDE OF N HERRITAGE ST., , , ,2008-01-24T00:00:00.000Z,PHONE,2008-01-24T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",102638386,-77.5858762,35.2924989,NAVTEQ,2008Q1,BLOCKFACE,YES,TGS,UC_2472
