FID,ID,SECCLASS,NAME,TELEPHONE,ADDRESS,ADDRESS2,CITY,STATE,ZIP,ZIPP4,COUNTY,FIPS,DIRECTIONS,EMERGTITLE,EMERGTEL,EMERGEXT,CONTDATE,CONTHOW,GEODATE,GEOHOW,HSIPTHEMES,NAICSCODE,NAICSDESCR,GEOLINKID,X,Y,ST_VENDOR,ST_VERSION,GEOPREC,PHONELOC,QC_QA,WEBSITE,NPI,ENT_TYPE,ORGAN_NAME,PROVID_11,PROVID_12,PROVID_20,PROVID_21,PROVID_22,PROVID_23,PROVID_24,PROVID_25,PROVID_26,PROVID_27,PROVID_36,LASTUP_37,HEALTH_47,PROVID_48,PROVID_49,HEALTH_51,PROVID_52,PROVID_53,HEALTH_55,PROVID_56,PROVID_57,HEALTH_59,PROVID_60,PROVID_61,HEALTH_63,PROVID_64,PROVID_65,HEALTH_67,PROVID_68,PROVID_69,HEALTH_71,PROVID_72,PROVID_73,HEALTH_75,PROVID_76,PROVID_77,HEALTH_79,PROVID_80,PROVID_81,HEALTH_83,PROVID_84,PROVID_85,HEALTH_87,PROVID_88,PROVID_89,HEALTH_91,PROVID_92,PROVID_93,HEALTH_95,PROVID_96,PROVID_97,HEALTH_99,PROVID_100,PROVID_101,HEALTH_103,PROVID_104,PROVID_105
23135,11674379,UNCLASSIFIED,BEAUFORT DRUG COMPANY,252-728-2006,1404 LIVE OAK STREET, ,BEAUFORT,NC,28516,1517,CARTERET,37031, , , , ,2010-09-08T00:00:00.000Z,PHONE,2010-09-08T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PHARMACIES",446110,PHARMACIES,788049309,-76.6470451,34.7241558,NAVTEQ,2009Q4,ONENTITY,YES,TECHNIGRAPHICS, ,1760595573,2,MOREHEAD CITY DRUG CO,BEAUFORT DRUG CO.,3,1704 ARENDELL ST, ,MOREHEAD CITY,NC,285574040,US,2527262106,2527284777,08/16/2006,01/28/2010,3336C0003X, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
23140,11647242,UNCLASSIFIED,SEA LEVEL PHARMACY,252-225-4921,440 UNITED STATES HIGHWAY 70 EAST, ,SEA LEVEL,NC,28577, ,CARTERET,37031, , , , ,2010-09-13T00:00:00.000Z,PHONE,2010-09-13T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PHARMACIES",446110,PHARMACIES,102107389,-76.3935328,34.8832845,NAVTEQ,2009Q4,ONENTITY,YES,TECHNIGRAPHICS, ,1477531473,2,SEA LEVEL PHARMACY, , ,440 HIGHWAY 70, ,SEA LEVEL,NC,28577,US,2522254921, ,01/09/2006,07/09/2007,333600000X,05487,NC, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
23489,11694962,UNCLASSIFIED,WALGREENS - 10434,252-222-3643,2202 ARENDELL STREET, ,MOREHEAD CITY,NC,28557,3922,CARTERET,37031, , , , ,2010-06-01T00:00:00.000Z,ALT REF,2010-06-01T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PHARMACIES",446110,PHARMACIES,102106531,-76.7332301,34.7234653,NAVTEQ,2009Q4,ONENTITY,YES,TECHNIGRAPHICS,HTTP://WWW.WALGREENS.COM,1063586311,2,WALGREEN CO,WALGREENS #10434,3,1901 E VOORHEES ST,MS 720,DANVILLE,IL,618344509,US,2175548964,2175548546,11/20/2006,06/10/2008,332B00000X, , ,3336C0003X, , ,333600000X,09421,NC, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
23491,11686559,UNCLASSIFIED,RITE AID - 11537,252-726-4104,2904 ARENDELL STREET, ,MOREHEAD CITY,NC,28557,3318,CARTERET,37031, , , , ,2010-06-01T00:00:00.000Z,ALT REF,2010-06-01T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PHARMACIES",446110,PHARMACIES,102106523,-76.7430133,34.7243811,NAVTEQ,2009Q4,ONENTITY,YES,TECHNIGRAPHICS,HTTP://WWW.RITEAID.COM,1699874891,2,ECKERD CORPORATION,RITE AID PHARMACY 11537,3,200 NEWBERRY COMMONS, ,ETTERS,PA,173199363,US,7177612633,7179758659,09/22/2006,01/08/2010,332B00000X, , ,3336C0003X,8705,NC, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
23602,11700126,UNCLASSIFIED,MEDICAL PARK PHARMACY EAST,252-504-2800,1513 LIVE OAK STREET, ,BEAUFORT,NC,28516,1518,CARTERET,37031, , , , ,2010-09-13T00:00:00.000Z,PHONE,2010-09-13T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PHARMACIES",446110,PHARMACIES,102106588,-76.6468279,34.7253809,NAVTEQ,2009Q4,ONENTITY,YES,TECHNIGRAPHICS,HTTP://WWW.MEDICALPARKPHARMACY.NET,1396886701,2,"MEDICAL PARK PHARMACY EAST, INC.",MEDICAL PARK PHARMACY EAST,3,1513 LIVE OAK ST, ,BEAUFORT,NC,285161518,US,2525042800,2525042805,02/09/2007,07/09/2007,3336C0003X,09182,NC, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
28098,11691400,UNCLASSIFIED,CASHIERS VALLEY PHARMACY,828-743-3114,72 INGLES PLAZA, ,CASHIERS,NC,28717, ,JACKSON,37099, , , , ,2010-08-10T00:00:00.000Z,PHONE,2010-08-10T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PHARMACIES",446110,PHARMACIES,118896563,-83.0870267,35.1204034,NAVTEQ,2009Q4,ONENTITY,YES,TECHNIGRAPHICS, ,1497845457,2,A TO Z DRUGS INC,CASHIERS VALLEY PHARMACY,3,PO BOX 246, ,CASHIERS,NC,287170246,US, , ,10/13/2006,09/17/2009,333600000X,04928,NC,3336C0003X, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
28198,11685702,UNCLASSIFIED,PARKER'S OF PEACHTREE,828-837-4145,4418 EAST UNITED STATES HIGHWAY 64 ALTERNATE, ,MURPHY,NC,28906, ,CHEROKEE,37039, , , , ,2010-09-09T00:00:00.000Z,PHONE,2010-09-09T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PHARMACIES",446110,PHARMACIES,777871129,-83.9648499,35.0687838,NAVTEQ,2009Q4,ONENTITY,YES,TECHNIGRAPHICS, ,1477650828,2,"PARKER'S DRUG STORE, INC",PARKER'S OF PEACHTREE,3,4418 E US HIGHWAY 64, ,MURPHY,NC,289066847,US,8288374145,8288374675,09/20/2006,07/09/2007,3336C0003X,06039,NC, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
28619,11696909,UNCLASSIFIED,TOXAWAY PHARMACY,828-884-3784,16821 ROSMAN HIGHWAY, ,LAKE TOXAWAY,NC,28747,9593,TRANSYLVANIA,37175, , , , ,2010-10-13T00:00:00.000Z,PHONE,2010-10-13T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PHARMACIES",446110,PHARMACIES,102944560,-82.943406,35.111044,NAVTEQ,2009Q4,ONENTITY,YES,TECHNIGRAPHICS,HTTP://TOXAWAYPHARMACY.EBIZZ.NET,1932264355,2,JEFFREY SCOTT JACKSON,TOXAWAY PHARMACY,3,16821 ROSMAN HWY, ,LAKE TOXAWAY,NC,287479593,US,8288843784,8288843792,12/26/2006,06/24/2008,332B00000X, , ,333600000X,06268,NC,3336C0003X, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
28629,11703898,UNCLASSIFIED,MURPHY MEDICAL CENTER PHARMACY,828-837-8161,3990 EAST UNITED STATES HIGHWAY 64 ALTERNATE, ,MURPHY,NC,28906, ,CHEROKEE,37039, , , , ,2010-09-09T00:00:00.000Z,ALT REF,2010-09-09T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PHARMACIES",446110,PHARMACIES,798695510,-83.9667459,35.0726155,NAVTEQ,2009Q4,ONENTITY,YES,TECHNIGRAPHICS,HTTP://WWW.MURPHYMEDICAL.ORG,1568673036,2,MURPHY MEDICAL CENTER, , ,4130 E US HIGHWAY 64, ,MURPHY,NC,289066845,US,8288378161, ,05/25/2007,07/09/2007,3336C0003X,3677,NC,3336I0012X,3677,NC,3336L0003X,3677,NC, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
28649,11699528,UNCLASSIFIED,KING'S PHARMACY,828-837-7474,30 PEACHTREE STREET, ,MURPHY,NC,28906,2940,CHEROKEE,37039, , , , ,2010-06-01T00:00:00.000Z,ALT REF,2010-06-01T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PHARMACIES",446110,PHARMACIES,22945571,-84.0342004,35.0872507,NAVTEQ,2009Q4,ONENTITY, ,TECHNIGRAPHICS, ,1790823870,2,"PHARMACARE, INC.",KINGS PHARMACY,3,30 PEACHTREE ST, ,MURPHY,NC,289062940,US,8288377474,8288374622,02/02/2007,07/09/2007,3336C0003X,05158,NC, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
28651,11680142,UNCLASSIFIED,PARKER'S DRUG STORE,828-837-2318,14 VALLEY RIVER AVENUE, ,MURPHY,NC,28906,2955,CHEROKEE,37039, , , , ,2010-06-01T00:00:00.000Z,ALT REF,2010-06-01T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PHARMACIES",446110,PHARMACIES,102111319,-84.0337979,35.0878822,NAVTEQ,2009Q4,ONENTITY, ,TECHNIGRAPHICS, ,1245341551,2,"PARKER'S DRUG STORE, INC", , ,14 VALLEY RIVER AVE, ,MURPHY,NC,289062955,US,8288372318,8288375011,08/31/2006,07/08/2007,3336C0003X,00498,NC, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
28665,11700211,UNCLASSIFIED,MAIN STREET PHARMACY,828-526-8845,460 MAIN STREET, ,HIGHLANDS,NC,28741,9483,MACON,37113, , , , ,2010-06-09T00:00:00.000Z,ALT REF,2010-06-09T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PHARMACIES",446110,PHARMACIES,102697806,-83.1961281,35.0525339,NAVTEQ,2009Q4,ONENTITY, ,TECHNIGRAPHICS, ,1538200456,2,SELF MED RX MAIN STREET PHARMACY INC,MAIN STREET PHARMACY,3,C/O SELF MED RX,PO BOX 6827,ATLANTA,GA,30315,US,8003426450,8285262367,02/12/2007,09/22/2009,3336C0003X,08061,NC, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
28725,11641293,UNCLASSIFIED,INGLES MARKETS - 116,828-389-4460,230 NC HIGHWAY 64, ,HAYESVILLE,NC,28904, ,CLAY,37043, , , , ,2010-09-20T00:00:00.000Z,PHONE,2010-09-20T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PHARMACIES",446110,PHARMACIES,109839927,-83.8161232,35.0330038,NAVTEQ,2009Q4,ONENTITY,YES,TECHNIGRAPHICS,HTTP://WWW.INGLES-MARKETS.COM,1013140938,2,INGLES PHARMACY INC,INGLES PHARMACY #116,3,PO BOX 9830, ,SALT LAKE CITY,UT,841099830,US,8286692941,8286693685,08/26/2009,08/26/2009,3336C0003X,10349,NC, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
28814,11660918,UNCLASSIFIED,WAL-MART SUPERCENTER - 515,828-837-8804,2330 UNITED STATES HIGHWAY 19, ,MURPHY,NC,28906, ,CHEROKEE,37039, , , , ,2010-06-01T00:00:00.000Z,ALT REF,2010-06-01T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PHARMACIES",446110,PHARMACIES,102110587,-84.005495,35.1087928,NAVTEQ,2009Q4,ONENTITY,YES,TECHNIGRAPHICS,HTTP://WWW.WALMART.COM,1336166578,2,WAL-MART STORES EAST LP,WAL-MART PHARMACY,3,702 SW 8TH ST, ,BENTONVILLE,AR,727166209,US, , ,07/16/2006,01/26/2009,332B00000X, , ,333600000X, , ,3336C0003X,7994,NC, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
28816,11674117,UNCLASSIFIED,INGLES MARKETS - 110,828-743-6312,925 EAST UNITED STATES HIGHWAY 64, ,CASHIERS,NC,28717, ,JACKSON,37099, , , , ,2010-06-04T00:00:00.000Z,ALT REF,2010-06-04T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PHARMACIES",446110,PHARMACIES,118896563,-83.0882849,35.1205178,NAVTEQ,2009Q4,ONENTITY,YES,TECHNIGRAPHICS,HTTP://WWW.INGLES-MARKETS.COM,1003827247,2,INGLES MARKETS INC,INGLES PHARMACY,3,PO BOX 9830, ,SALT LAKE CITY,UT,84109,US,8286692941,8286693685,08/11/2006,02/14/2008,333600000X,7733,NC,3336C0003X, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
42003,11707725,UNCLASSIFIED,HEALTHSMART PHARMACY,704-658-1184,108 LEANING OAK DRIVE, ,MOORESVILLE,NC,28117, ,IREDELL,37097, , , , ,2010-06-07T00:00:00.000Z,ALT REF,2010-06-07T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PHARMACIES",446110,PHARMACIES,711517474,-80.8744636,35.5896898,NAVTEQ,2009Q4,ONENTITY,YES,TECHNIGRAPHICS,HTTP://HEALTHSMARTPHARMACY.NET,1780848804,2,HEALTHSMART PHARMACY LLC,HEALTHSMART PHARMACY,3,108 LEANING OAK DR, ,MOORESVILLE,NC,28117,US,7046581184,7946581184,07/17/2008,12/02/2009,3336C0003X,10131,NC, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
42004,11686491,UNCLASSIFIED,RITE AID - 11439,704-922-8011,520 EAST TRADE STREET, ,DALLAS,NC,28034,1755,GASTON,37071, , , , ,2010-06-03T00:00:00.000Z,ALT REF,2010-06-03T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PHARMACIES",446110,PHARMACIES,28209879,-81.1686989,35.3167746,NAVTEQ,2009Q4,ONENTITY,YES,TECHNIGRAPHICS,HTTP://WWW.RITEAID.COM,1457450686,2,ECKERD CORPORATION,RITE AID PHARMACY 11439,3,200 NEWBERRY COMMONS, ,ETTERS,PA,173199363,US,7177612633,7179758659,09/22/2006,01/13/2010,332B00000X, , ,3336C0003X,8618,NC, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
42005,11697553,UNCLASSIFIED,ID CONSULTANTS PHARMACY,704-523-6049,4539 HEDGEMORE DRIVE, ,CHARLOTTE,NC,28209,3276,MECKLENBURG,37119, , , , ,2010-05-27T00:00:00.000Z,ALT REF,2010-05-27T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PHARMACIES",446110,PHARMACIES,28235224,-80.8471968,35.1683245,NAVTEQ,2009Q4,ONENTITY,YES,TECHNIGRAPHICS,HTTP://WWW.IDCONSULTANTS.ORG,1790842193,2,ID CONSULTANTS PA,IDC PHARMACY,3,4539 HEDGEMORE DR,STE 110,CHARLOTTE,NC,282093276,US, , ,01/03/2007,06/20/2008,3336C0003X,07526,NC, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
42006,11660904,UNCLASSIFIED,WAL-MART SUPERCENTER - 3304,336-349-2325,1624 NC HIGHWAY 14, ,REIDSVILLE,NC,27320,9666,ROCKINGHAM,37157, , , , ,2010-06-08T00:00:00.000Z,ALT REF,2010-06-08T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PHARMACIES",446110,PHARMACIES,127880379,-79.6669111,36.383514,NAVTEQ,2009Q4,ONENTITY,YES,TECHNIGRAPHICS,HTTP://WWW.WALMART.COM,1891712030,2,WAL-MART STORES EAST LP,WAL-MART PHARMACY,3,702 SW 8TH ST, ,BENTONVILLE,AR,727166209,US, , ,07/16/2006,01/26/2009,332B00000X, , ,333600000X, , ,3336C0003X,9168,NC, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
42007,11680618,UNCLASSIFIED,CVS - 5379,336-940-6870,110 NC HIGHWAY 801 NORTH, ,ADVANCE,NC,27006,7943,DAVIE,37059, , , , ,2010-06-02T00:00:00.000Z,ALT REF,2010-06-02T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PHARMACIES",446110,PHARMACIES,17072309,-80.439173,36.0056625,NAVTEQ,2009Q4,ONENTITY,YES,TECHNIGRAPHICS,HTTP://WWW.CVS.COM,1346343043,2,REVCO DISCOUNT DRUG CENTERS INC,CVS PHARMACY # 05379,3,1 CVS DR,PO BOX 1075,WOONSOCKET,RI,028956146,US, , ,09/07/2006,03/27/2009,3336C0003X, , ,333600000X,6893,NC, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
42009,11682053,UNCLASSIFIED,CVS - 4253,336-712-0663,1433 LEWISVILLE CLEMMONS ROAD, ,CLEMMONS,NC,27012,9713,FORSYTH,37067, , , , ,2010-06-07T00:00:00.000Z,ALT REF,2010-06-07T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PHARMACIES",446110,PHARMACIES,778771989,-80.3892898,36.0738255,NAVTEQ,2009Q4,ONENTITY,YES,TECHNIGRAPHICS,HTTP://WWW.CVS.COM,1457454944,2,REVCO DISCOUNT DRUG CENTERS INC,CVS PHARMACY # 04253,3,1 CVS DR,PO BOX 1075,WOONSOCKET,RI,028956146,US, , ,09/07/2006,03/27/2009,3336C0003X, , ,333600000X,6704,NC, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
