FID,STYPE,FCOUNTY,FACILITY,FADDR1,FCITY,FSTATE,FZIP,FPHONE,LICNO,LICENSEE,EXPIRES
"933125","CRP","Craven","CarolinaEast Cardiac Rehabilitation Program","P. O. Box 12157","New Bern","NC","28561","(252)633-8613","CRP0050","CarolinaEast Health System",12/31/2018
"923048","CRP","Cabarrus","Carolinas HealthCare System Cardiac & Pulmonary Rehab","1090 NorthEast Gateway Ct.","Concord","NC","28025-","(704)403-9250","CRP0056","The Charlotte-Mecklenburg Hospital Authority",12/31/2018
"980019","CRP","Stanly","Carolinas HealthCare System Cardiac & Pulmonary Rehab.","P.O. Box 1489, 301 Yadkin Street","Albemarle","NC","28001-","(704)984-4586","CRP0082","The Charlotte-Mecklenburg Hospital Authority",12/31/2018
"120534","CRP","Mecklenburg","Carolinas HealthCare System Cardiac Rehab","10650 Park Rd","Charlotte","NC","28210-","(704)667-6010","CRP0117","Mercy Hospital, Inc",12/31/2018
"971097","CRP","Union","Carolinas HealthCare System Cardiac Rehabilitation","1550 Faulk St, Ste. 3200","Monroe","NC","28112-","(980)993-7220","CRP0079","The Charlotte Mecklenburg Hospital Authority",12/31/2018
"980122","CRP","Cleveland","Carolinas HealthCare System Cleveland Cardiac Rehab. P","201 East Grover Street","Shelby","NC","28150-","(980)487-3659","CRP0084","The Charlotte Mecklenburg Hospital Authority",12/31/2018
"923069","CRP","Mecklenburg","Carolinas Medical Center Cardiac Rehab Program","P O BOX 32861","Charlotte","NC","28232-","(704)512-2401","CRP0052","Charlotte Mecklenburg Hospital Authority",12/31/2018
"933236","CRP","Gaston","Caromont Health Cardiac Rehabilitation","2525 Court Drive","Gastonia","NC","28054","(704)671-7932","CRP0017","Gaston Memorial Hospital,Inc.",12/31/2018
"956858","CRP","Carteret","Carteret General Hospital Outpt Cardiac Rehabilitation","P O Dwr 1619","Morehead City","NC","28557-1619","(252)808-6616","CRP0070","Carteret County General Hospital Corporation",12/31/2018
"933079","CRP","Catawba","Catawba Valley Medical Center CRP","810 Fairgrove Church Road SE","Hickory","NC","28602-","(828)326-3680","CRP0064","Catawba Valley Medical Center",12/31/2018
"933083","CRP","Lee","Central Carolina Hosp Cardiac Rehabilitation Program","1135 Carthage St","Sanford","NC","27330","(919)774-2384","CRP0040","DLP Central Carolina Medical Center, LLC",12/31/2018
"080075","CRP","Chatham","Chatham Hospital Cardiac Rehabilitation","P O Box 649","Siler City","NC","27344-","(919)799-4650","CRP0111","Chatham Hospital, Inc",12/31/2018
"971197","CRP","Iredell","Davis Regional Medical Center Cardiac Rehabilitation","218 Old Mocksville Road","Statesville","NC","28687-","(704)838-7620","CRP0080","Statesville HMA, Inc.",12/31/2018
"051396","CRP","Brunswick","Dosher Wellness Center","3009 Medical Plaza Lane","Southport","NC","28461-","(910)457-3871","CRP0107","J. Arthur Dosher Memorial Hospital",12/31/2018
"943137","CRP","Durham","Duke  Cardiopulmonary Rehab.","1821 Hillandale Road","Durham","NC","27705-","(919)660-6724","CRP0002","Duke University Medical Center",12/31/2018
"953356","CRP","Moore","FirstHealth of the Carolinas-Cardiac Rehab-Pinehurst","170 Memorial Drive","Pinehurst","NC","28374-","(910)715-1832","CRP0020","FirstHealth of the Carolinas, Inc.",12/31/2018
"031247","CRP","Richmond","Firsthealth of the Carolina's Cardiac Rehabilitation","120 Richmond Memorial Drive","Rockingham","NC","28379-","(910)417-4052","CRP0104","Firsthealth of the Carolinas, Inc.",12/31/2018
"000104","CRP","Forsyth","Forsyth Medical Center-Cardiac Rehab","3333 Silas Creek Parkway","Winston-Salem","NC","27103-","(336)718-5748","CRP0095","Forsyth Medical Center",12/31/2018
"923181","CRP","Catawba","Frye Regional Medical Center Cardiopulmonary Rehab. Prg","420 N. Center Street","Hickory","NC","28601-","(828)315-3563","CRP0009","DLP Frye Regional Medical Center, LLC",12/31/2018
"923547","CRP","Jackson","Harris Regional Hospital","68 Hospital Road","Sylva","NC","28779-2722","(828)586-7645","CRP0035","DLP Harris Regional Hospital, LLC",12/31/2018
"933233","CRP","Haywood","Haywood Regional Medical Center","75 Leroy George Drive","Clyde","NC","28721","(828)456-8060","CRP0063","DLP Haywood Regional Medical Center, Inc",12/31/2018
"923101","CRP","Chowan","HealthSteps","P O Box 629","Edenton","NC","27932","(252)482-8451","CRP0062","East Carolina Health-Chowan, Inc.",12/31/2018
"960652","CRP","Macon","HealthTracks","P O Box 190","Highlands","NC","28741-","(828)526-1469","CRP0076","Highlands-Cashiers Hospital",12/31/2018
"980149","CRP","Onslow","Healthy Living Cardiac Rehabilitation","P O Box 1358","Jacksonville","NC","28541-","(910)577-2943","CRP0085","Onslow Memorial Hospital",12/31/2018
"923241","CRP","Rowan","Heart Care Cardiac Rehabilitation Program","612 Mocksville Ave","Salisbury","NC","28144-2799","(704)210-5412","CRP0042","Rowan Regional Medical Center",12/31/2018
"923350","CRP","Buncombe","Heart Path Cardiac Rehabilitation Program","Op Heart Path, 509 Biltmore Avenue","Asheville","NC","28801-","(828)213-7000","CRP0031","Mission Hospitals, Inc.",12/31/2018
"980148","CRP","Mitchell","Heart Path at Blue Ridge Regional Hospital","P O Drawer 9","Spruce Pine","NC","28777-","(828)766-3060","CRP0096","Blue Ridge Regional Hospital",12/31/2018
"953243","CRP","Alamance","Heart Track Cardiac Rehabilitation Program","1240 Huffman Mill Road","Burlington","NC","27215-","(336)538-8120","CRP0021","Alamance Regional Medical Center",12/31/2018
"933325","CRP","Vance","Heart Wise","511 Ruin Creek Road","Henderson","NC","27536","(252)436-1570","CRP0058","DLP Maria Parham Medical Center, LLC",12/31/2018
"933323","CRP","Henderson","HeartLife","212 Thompson Street","Hendersonville","NC","28792-2806","(828)698-4694","CRP0053","Henderson County Hospital Corporation",12/31/2018
"933242","CRP","Guilford","HeartStrides Cardiac Rehabilitation Program","P O Box HP-5","High Point","NC","27261-","(336)878-6914","CRP0025","High Point Regional Health",12/31/2018
"954409","CRP","Surry","Hugh Chatham Memorial Hospital Cardiac Rehab Program","P O Box 560","Elkin","NC","28621-","(336)527-7523","CRP0066","Hugh Chatham Memorial Hospital, Inc.",12/31/2018
"060512","CRP","Iredell","Iredell Memorial Hospital Cardiac Rehabilitation Prog","P.O. Box 1828","Statesville","NC","28687-","(704)878-4558","CRP0108","Iredell Memorial Hospital, Inc",12/31/2018
"980809","CRP","Johnston","Johnston Health Cardiopulmonary Rehabilitation Prog","Box 1376","Smithfield","NC","27577-","(919)938-7127","CRP0092","Johnston Health Services Corporation",12/31/2018
"923303","CRP","Lenoir","Lenoir Memorial Hospital Cardiac Rehabilitation Program","P. O. Box 1678","Kinston","NC","28503-","(252)522-7009","CRP0065","Lenoir Memorial Hospital, Inc.",12/31/2018
"110077","CRP","Davidson","Lexington Medical Center","P O Box 1817","Lexington","NC","27293-","(336)238-4291","CRP0115","Lexington Medical Center",12/31/2018
"990597","CRP","Person","Making Tracks Cardiac Rehabilitation Program","615 Ridge Road","Roxboro","NC","27573-","(336)503-5723","CRP0094","DLP Person Memorial Hospital, LLC",12/31/2018
"923199","CRP","Guilford","Moses Cone Cardiac Rehabilitation Program","1200 N. Elm  Street","Greensboro","NC","27401","(336)832-7700","CRP0006","The Moses H. Cone Memorial Hosp. Operating Corp.",12/31/2018
"956906","CRP","Cherokee","Murphy Medical Center  Cardiac and Pulmonary Rehab","3990 East US Hwy 64 Alt","Murphy","NC","28906-","(828)835-7615","CRP0071","Murphy Medical Center",12/31/2018
"923367","CRP","Nash","Nash Hospitals, Inc","1051 noell lane","Rocky Mount","NC","27804","(252)962-3468","CRP0029","Nash Hospitals, Inc.",12/31/2018
"170058","CRP","Surry","Northern Cardiac Rehabilitation","830 Rockford Street","Mount Airy","NC","27030-","(336)783-8353","CRP0121","Northern Hospital of Surry County",12/31/2018
"031271","CRP","Brunswick","Novant Health Brunswick Medical Center","P O Box 139","Supply","NC","28462-","(910)721-3150","CRP0102","Brunswick Community Hospital, LLC",12/31/2018
"933340","CRP","Mecklenburg","Novant Health Presbyterian Hosp Cardio-Pulmonary  Rehab","125 Baldwin Avenue","Charlotte","NC","28204","(704)384-5031","CRP0019","Rehabilitation Center of the Carolinas",12/31/2018
"140011","CRP","Mecklenburg","Novant Health Wellness Center at Huntersville","10030 Gilead Road, Suite 380","Huntersville","NC","28078-","(704)316-5655","CRP0119","Novant Health Huntersville Medical Center",12/31/2018
"130138","CRP","Mecklenburg","Novant Health Wellness Center at Matthews","1500 Matthews Township Parkway","Matthews","NC","28105-","(704)316-3990","CRP0118","Novant Health Matthews Medical Center",12/31/2018
"953390","CRP","Henderson","Park Ridge Health","100 Hospital Drive","Hendersonville","NC","28792-","(828)681-2713","CRP0051","Fletcher Hospital, Inc.",12/31/2018
"960100","CRP","Randolph","Randolph Hospital Cardiopulmonary Rehabilitation","364 White Oak Street","Asheboro","NC","27203-1048","(336)633-7752","CRP0073","Randolph Hospital",12/31/2018
"923430","CRP","Wake","Rex Cardiac Rehabilitation","4420 Lake Boone Trail","Raleigh","NC","27607","(919)784-3756","CRP0030","Rex Hospital, Inc.",12/31/2018
"980733","CRP","Wake","Rex Cardiac Rehabilitation","4420 Lake Boone Trail","Raleigh","NC","27607-","(919)784-3756","CRP0090","Rex Hospital, Inc.",12/31/2018
"980361","CRP","Scotland","Scotland Memorial Hosp. Cardiac Rehabilitation Program","500 Lauchwood Drive","Laurinburg","NC","28352-","(910)291-7400","CRP0088","Scotland Memorial Hospital, Inc.",12/31/2018
"932932","CRP","Pasquotank","Sentara Albemarle Medical Center","1144 North Road St","Elizabeth City","NC","27906-1587","(252)331-4450","CRP0046","Sentara Albemarle Regional Medical Center, LLC",12/31/2018
"953460","CRP","Robeson","Southeastern Cardiopulmonary Rehabilitation","4895 Fayetteville Road","Lumberton","NC","28358-","(910)738-5403","CRP0045","Southeastern Regional Medical Center",12/31/2018
"933235","CRP","McDowell","The McDowell Hospital Cardiac Rehabilitation Program","1633 Sugar Hill Rd","Marion","NC","28752","(828)659-5401","CRP0043","The McDowell Hospital, Inc.",12/31/2018
"933397","CRP","Davidson","Thomasville Medical Center Cardiac Rehabilitation","207 Old Lexington Road","Thomasville","NC","27360","(336)476-2539","CRP0008","Thomasville Medical Center",12/31/2018
"955229","CRP","Transylvania","Transylvania Regional Hospital Cardiac Rehab.","P O Box 1116","Brevard","NC","28712-","(828)883-5322","CRP0068","Transylvania Community Hospital, Inc.",12/31/2018
"933384","CRP","Orange","UNC Hospitals Cardiac Rehabilitation","100 Sprunt Street","Chapel Hill","NC","27517-","(919)843-2158","CRP0007","University of North Carolina Hospitals",12/31/2018
"923518","CRP","Burke","Valdese Gen.Hosp.Heart to Heart Cardiac Rehab Program","Phifer Wellness Center, 2165 South","Morganton","NC","28655-","(828)879-7528","CRP0023","Valdese General Hospital,Inc.",12/31/2018
"120131","CRP","Edgecombe","Vidant Edgecombe Hospital","111 Hospital Drive","Tarboro","NC","27886-","(252)641-7700","CRP0116","East Carolina Health-Heritage, Inc",12/31/2018
"010647","CRP","Beaufort","Vidant Wellness Center","1375 Cowell Farm Road","Washington","NC","27889-","(252)975-4236","CRP0100","East Carolina Health-Beaufort, Inc.",12/31/2018
"040814","CRP","Forsyth","Wake Forest University Baptist Medical Center","Medical Center Boulevard","Winston Salem","NC","27157-","(336)713-8855","CRP0103","North Carolina Baptist Hospital",12/31/2018
"933239","CRP","Wake","Wake Med Cardiac Rehabilitation Program","3000 New Bern Ave","Raleigh","NC","27610-","(919)350-8602","CRP0038","WakeMed",12/31/2018
"110063","CRP","Wake","Wakemed Cary Hospital Cardiac Rehabilitation Program","1900  Kildaire Farm Rd","Cary","NC","27518-","(919)350-1875","CRP0114","Wakemed Cary Hospital",12/31/2018
"933534","CRP","Wayne","Wayne Memorial Hospital,Inc. Cardiac Rehabilitation","P O Box 8001","Goldsboro","NC","27533-8001","(919)731-6304","CRP0032","Wayne Memorial Hospital, Inc.",12/31/2018
"933568","CRP","Wilson","Wilson Medical Center Cardiopulmonary Rehabilitation","1705 Tarboro Street, SW","Wilson","NC","27893-3428","(252)399-8448","CRP0010","DLP Wilson Medical Center, LLC",12/31/2018
