FACILITY,FADDR1,FCITY,FSTATE,FZIP,FPHONE,FCOUNTY,STYPE,SADDR,SCITY,SSTATE,SZIP,LICENSEE,LICNO,PENDING,FID,CLOSED,TERMINATED,HCACAT,HOSCAT,NPCAT,NSGSVCS,CLINICAL,IVSV,AIDESV,SWSV,PTSV,OTSV,SPSV,SPLYSV,NSGPOOL,POOLAIDE,HHASV,HHANO,HOSNO,HPBEDS,HRBEDS,EXPIRES,JCAHO,RJCAHO,ACHC,CARF,NARRAL,ACCHC,NHCC,PPH,CHAP,OTHERA
"ResCare Home Care","834 Tyvola Road","Charlotte","NC","28217-","(336)227-0440","Alamance","HC","2432 South Church Street, SUITE A","Burlington","NC","27215-","CNC/Access","HC4462",F,"110861",F,F,T,F,F,F,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"Shipman Family Home Care, Inc.","1614 East Market Street","Greensboro","NC","27401-","(336)270-5723","Alamance","HC","1424 B-1 North Church Street","Burlington","NC","27217-","Shipman Family Home Care, Inc.","HC2903",F,"041567",F,F,T,F,F,F,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"Touched by Angels Home Healthcare II, Inc.","P.O. Box 834","Graham","NC","27253-","(336)221-9998","Alamance","HC","116 West Pine Street","Graham","NC","27253-","Touched by Angels Home Healthcare II, Inc.","HC2422",F,"030877",F,F,T,F,F,F,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"Twin Lakes Community Home Care Agency","3727 Wade Coble Drive","Burlington","NC","27215","(336)538-1400","Alamance","HC","3727 Wade Coble Drive","Burlington","NC","27215","Lutheran Retirement Ministries of Alamance County N.C.","HC1011",F,"944191",F,F,T,F,F,F,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,T
"Hospice and Home Care of Alexander County, Inc.","50 Lucy Echerd Lane","Taylorsville","NC","28681","(828)632-5026","Alexander","HC","50 Lucy Echerd Lane","Taylorsville","NC","28681","Hospice and Home Care of Alexander County, Inc.","HC0362",F,"953860",F,F,T,T,F,T,F,F,T,F,F,F,F,F,F,F,F,"","341521",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"Medi Home Health Agency","P.O. Box 609","Lexington","SC","29070-","(828)632-9704","Alexander","HC","393 3rd  Avenue SW","Taylorsville","NC","28681-4180","MSA Home Health and Hospice of NC, Inc.","HC0476",F,"943593",F,F,T,F,F,T,F,T,T,T,T,T,T,F,F,F,T,"347102","",0,0,12/31/2018,F,F,T,F,F,F,F,F,F,F
"Walkers Home Care","18869 John Connor Road","Cornelius","NC","28031-","(252)432-6308","Alexander","HC","725 Derita Road, Suite D","Concord","NC","28027-","Walkers Home Care","HC4547",F,"120258",F,F,T,F,F,T,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"Haven Home Care Inc.","PO Box 1227","Sparta","NC","28675-","(336)572-0040","Alleghany","HC","349 South Main Street","Sparta","NC","28675-","Brenda W. Maines","HC1936",F,"001597",F,F,T,F,F,T,F,T,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"Living Water's Home Care L.L.C.","P.O. Box 446","Sparta","NC","28675-","(336)372-5978","Alleghany","HC","623A Hendrix Road","Sparta","NC","28675-","Living Water's Home Care L.L.C.","HC3349",F,"060270",F,F,T,F,F,F,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"Medi Home Health and Hospice","P.O. Box 609","Lexington","SC","29071-0609","(336)372-2102","Alleghany","HC","115 Atwood Street; Suite C","Sparta","NC","28675-","Medical Services of America, Inc.","HC0478",F,"923604",F,F,T,F,F,T,F,T,T,T,T,T,T,F,F,F,T,"34Q702002","",0,0,12/31/2018,F,F,T,F,F,F,F,F,F,T
"Services Unlimited","P.O. Box 446","Sparta","NC","28675-","(336)372-5150","Alleghany","HC","623B Hendrix Road","Sparta","NC","28675-","Living Water's Home Care, LLC","HC1588",F,"980005",F,F,T,F,F,F,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"Anson Community Hospice, Inc.","1119 US Hwy. 1 N","Rockingham","NC","28379-","(704)695-1595","Anson","HC","110 South Green Street","Wadesboro","NC","28170-","Richmond County Hospice, Inc.","HC1869",F,"000302",F,F,T,T,F,T,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,T,F
"Boyd Intensive In Home Services","2520 Barrington Court","Rock Hill","SC","29732-","(803)804-4665","Anson","HC","2500 Hwy 742 S, Suite C","Wadesboro","NC","28170-","Eugene Boyd","HC3362",F,"060318",F,F,T,F,F,T,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"Champion Home Care Agency, LLC","1410 Millgate Drive","Winston-Salem","NC","27103-","(704)994-2664","Anson","HC","121 Wortham Street , Unit F","Wadesboro","NC","28170-","Champion Family Healthcare Services, LLC","HC4317",F,"110122",F,F,T,F,F,F,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,T
"Compassion  Home Care","122 A North Rutherford Street","Wadesboro","NC","28170-","(704)694-2028","Anson","HC","122 A North Rutherford Street","Wadesboro","NC","28170-","Compassion Home Care","HC4017",F,"100103",F,F,T,F,F,F,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"Essential Living Home Care Services, LLC","107C East Wade","Wadesboro","NC","28170-","(704)994-2797","Anson","HC","107C East Wade; Suite D","Wadesboro","NC","28170-","Essential Living Home Care Services, LLC","HC3498",F,"061059",F,F,T,F,F,F,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"Gentle Touch Home Care, LLC","P.O. Box 336","Carthage","NC","28327-","(704)994-2361","Anson","HC","1248 E Caswell Street","Wadesboro","NC","28170-","Gentle Touch Home Care, LLC","HC3264",F,"051460",F,F,T,F,F,F,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"Liberty Home Care","119 W. Wade Street","Wadesboro","NC","28170-","(704)694-5992","Anson","HC","119 W. Wade Street","Wadesboro","NC","28170-","Liberty Home Care II, LLC","HC0264",F,"954126",F,F,T,F,F,T,F,T,T,T,T,T,T,F,F,F,T,"347307","",0,0,12/31/2018,F,F,T,F,F,F,F,F,F,F
"Liberty Medical Specialties, Inc.","P.O. Box 339","Whiteville","NC","28472-","(704)695-1111","Anson","HC","813 East Roosevelt Blvd.","Monroe","NC","28112-","Liberty Medical Specialties, Inc.","HC2418",F,"030893",F,F,T,F,F,F,T,T,F,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,T,F,F,F,F,F,F,F
"Neighborhood Nurses Health Care Services, Inc.","217 Leak Avenue","Wadesboro","NC","28170-","(704)695-9171","Anson","HC","217 Leak Avenue","Wadesboro","NC","28170-","Neighborhood Nurses Health Care Services, Inc.","HC1275",F,"925482",F,F,T,F,F,F,F,F,T,T,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,T,F
"Ashe Home Care, Inc.","1646 Mt. Jefferson Road","West Jefferson","NC","28694-","(336)846-1345","Ashe","HC","1646 Mt. Jefferson Road","West Jefferson","NC","28694-","Ashe Home Care, Inc.","HC3244",F,"051405",F,F,T,F,F,F,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"Ashe Services for Aging, Inc.","180 Chatty Rob Lane","West Jefferson","NC","28694-","(336)246-2461","Ashe","HC","180 Chatty Rob Lane","West Jefferson","NC","28694-","Ashe Services For Aging, Inc.","HC0744",F,"943609",F,F,T,F,F,F,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,T,F,F,F,F
"Lincare, Inc.","19387 US 19 North","Clearwater","FL","33764-","(336)246-4944","Ashe","HC","203 N. Main Street","Jefferson","NC","28640-","Lincare, Inc.","HC1314",F,"956229",F,F,T,F,F,F,T,F,F,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"Medi Home Health and Hospice","P.O. Box 2431","Lexington","SC","29071-2431","(336)246-9023","Ashe","HC","1877 NC Hwy 163","West Jefferson","NC","28694-","Medical Services of Amercia, Inc.","HC0479",F,"923605",F,F,T,F,F,T,F,T,T,T,T,T,T,F,F,F,T,"34Q7020003","",0,0,12/31/2018,T,F,T,F,F,F,F,F,F,T
"Unique Home Care, Inc.","P. O. Box 835","Jefferson","NC","28640-","(336)246-6991","Ashe","HC","1320 Highway 221 North","Jefferson","NC","28640-","Unique Home Care, Inc.","HC1824",F,"000009",F,F,T,F,F,F,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,T,F,F,F,F,F,F,F,F,F
"Compassionate Hearts Home Care Agency","P.O. Box 64","Newland","NC","28657-","(828)733-9928","Avery","HC","39 Still Creek Lane","Newland","NC","28657-","Compassionate Hearts Home Care Agency","HC4343",F,"110245",F,F,T,F,F,F,F,T,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"Gentiva Health Services","12900 Foster Street","Overland Park","KS","66213-","(828)898-6000","Avery","HC","3990 Hwy. 105 South, Suite 3","Banner Elk","NC","28604-9887","Capital Care Resources, LLC","HC0826",F,"954121",F,F,T,F,F,F,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,T
"High Country Home Care","P O Box 519","Newland","NC","28657-","(828)733-1248","Avery","HC","430 Pineola St.","Newland","NC","28657-","High Country Home Care, Inc.","HC1135",F,"944347",F,F,T,F,F,F,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"PruittHealth Home Health - Avery","1626 Jeurgens Court","Norcross","GA","30093-","(828)733-1550","Avery","HC","3616 Mitchell Avenue; Suites 5&6","Newland","NC","28657","PruittHealth Home Health, Inc.","HC0317",F,"943613",F,F,T,F,T,T,F,T,T,T,T,T,T,F,T,T,T,"347100","",0,0,12/31/2018,F,F,T,F,F,F,F,F,F,F
"Amblecare, Inc.","P.O. Box 2206","Washington","NC","27889-","(252)747-5252","Beaufort","HC","222 West Stewart Parkway Suite 301","Washington","NC","27889-","Amblecare, Inc.","HC2359",F,"030496",F,F,T,F,F,F,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,T,F,F,F,F,F,F
"Beaufort County DSS","P O Box 1358","Washington","NC","27889","(252)975-5500","Beaufort","HC","632 West 5th Street","Washington","NC","27889-","Beaufort County Department of Social Services","HC0630",F,"943616",F,F,T,F,F,F,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"Coastal Home Care","275 Pamlico Street","Belhaven","NC","27810-","(252)943-2656","Beaufort","HC","275 Pamlico Street","Belhaven","NC","27810-","Belle Port  Inc.","HC3974",F,"091029",F,F,T,F,F,F,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"Continuum Home Care of Washington","250 Lovers Lane","Washington","NC","27889-","(252)975-1636","Beaufort","HC","250 Lovers Lane","Washington","NC","27889-","Continuum II Home Health & Hospice, Inc.","HC1222",F,"955286",F,F,T,F,F,T,F,F,T,F,T,T,T,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"Golden Way Home Care","P. O. Box 244","Washington","NC","27889-","(252)946-2632","Beaufort","HC","901 Hackney Ave.","Washington","NC","27889-","Golden Way, Inc.","HC4242",F,"101163",F,F,T,F,F,F,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"Home Life Care, Inc.","613 East Memorial Drive","Ahoskie","NC","27910-","(252)946-5730","Beaufort","HC","140 West 15th Street","Washington","NC","27889-","Home Life Care, Inc.","HC2831",F,"041158",F,F,T,F,F,F,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"Kindred at Home","12900 Foster, Suite 400","Overland Park","KS","66213-2696","(252)946-7145","Beaufort","HC","1638 Carolina Avenue","Washington","NC","27889-3365","Eastern Carolina Home Health Agency, LLC","HC0329",F,"924157",F,F,T,F,F,T,F,T,T,T,T,T,T,F,T,T,T,"347329","",0,0,12/31/2018,F,F,F,F,F,F,F,F,T,F
"Quality Home Staffing, Inc.","P.O. Box 490","Windsor","NC","27983-","(252)940-0705","Beaufort","HC","222 Stewart Parkway, Suite 204","Washington","NC","27889-","Quality Home Staffing, Inc.","HC1926",F,"001515",F,F,T,F,T,F,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"Vidant Home Health and Hospice","PO Box 8125","Greenville","NC","27835-8125","(252)975-8330","Beaufort","HC","1211 Highland Drive","Washington","NC","27889-","HealthAccess, Inc.","HC1634",F,"980500",F,F,T,F,T,T,F,T,T,T,T,T,T,F,F,F,T,"347250","",0,0,12/31/2018,T,F,F,F,F,F,F,F,F,F
"Albemarle Home Care and Hospice","P.O. Box 609","Lexington","SC","29070-0609","(252)794-0828","Bertie","HC","202C US 13 N","Windsor","NC","27983","MSA Home Health and Hospice of NC, Inc.","HC0480",F,"943617",F,F,T,F,F,T,F,T,T,F,T,T,F,F,F,F,T,"34Q7017004","",0,0,12/31/2018,F,F,T,F,F,F,F,F,F,F
"Home Life Care, Inc.","613 East Memorial Drive","Ahoskie","NC","27910-","(252)794-5999","Bertie","HC","1006 North King Street","Windsor","NC","27983-","Home Life Care, Inc.","HC1800",F,"990855",F,F,T,F,F,F,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"Positive Step Home Care Agency","102 E. Granville Street","Windsor","NC","27983-","(252)794-2561","Bertie","HC","102 E. Granville Street","Windsor","NC","27983-","Positive Step, Inc.","HC2242",F,"021205",F,F,T,F,F,F,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"Quality Home Staffing, Inc.","P. O. Box 490","Windsor","NC","27983-","(252)794-4227","Bertie","HC","228 US13 Bypass Suite 1","Windsor","NC","27983-","Quality Home Staffing, Inc.","HC1473",F,"970038",F,F,T,F,T,F,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"Sure Care Health Services, Inc.","P. O. Box 180","Kelford","NC","27847-","(252)344-9381","Bertie","HC","3804 Governors Road","Kelford","NC","27847-","Sure Care Health Services, Inc.","HC1743",F,"990131",F,F,T,F,F,T,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"Vidant Home Health and Hospice","P. O. Box 8125","Greenville","NC","27983-8125","(252)794-2622","Bertie","HC","304 W. Granville Street","Windsor","NC","27983-","HealthAccess, Inc.","HC1052",F,"943618",F,F,T,F,F,T,F,T,T,T,T,T,T,F,T,T,T,"347218","",0,0,12/31/2018,T,F,F,F,F,F,F,F,F,T
"A Primary Choice Inc","P.O. Box 159","St. Paul","NC","28384-","(910)862-3040","Bladen","HC","2950 West Broad Street","Elizabethtown","NC","28337-","A Primary Choice, Inc.","HC4284",F,"110018",F,F,T,F,F,F,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"Advanced Home Care","P O Box 18049","Greensboro","NC","27419-8049","(910)862-6901","Bladen","HC","300 Mercer Mill Road","Elizabethtown","NC","28337-","Advanced Home Care, Inc.","HC0481",F,"943624",F,F,T,F,F,T,F,T,T,T,T,T,T,F,F,F,T,"347097","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"Allied Home Health Care, Inc.","117 W. Main Street","Whiteville","NC","28472-","(910)640-2021","Bladen","HC","111 West - Fifth Avenue","Chadbourn","NC","28431-","Allied Home Health Care, Inc.","HC3687",F,"070145",F,F,T,F,F,F,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"AssistedCare, Inc.","1003 Olde Waterford Way, Suite 2-C","Leland","NC","28451-","(910)332-2346","Bladen","HC","400 Mercer Mill Road","Elizabethtown","NC","28337-","AssistedCare, Inc.","HC1431",F,"960548",F,F,T,F,T,T,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,T,F,F,F,F,F,F,F,F,F
"Carolinas Home Care Services, Inc.","PO Box 1743","Whiteville","NC","28472-","(910)862-2991","Bladen","HC","1107 W. Broad Street  Unit E","Elizabethtown","NC","28337-","Carolinas Home Care Agency, Inc.","HC2038",F,"010532",F,F,T,F,F,F,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"Liberty Home Care","P.O. Box 3146","Elizabethtown","NC","28337","(910)862-8538","Bladen","HC","501 Doctors Drive","Elizabethtown","NC","28337","Liberty Home Care, LLC","HC0309",F,"943698",F,F,T,F,F,T,F,T,T,T,T,T,T,F,F,F,T,"347248","",0,0,12/31/2018,F,F,T,F,F,F,F,F,F,F
"Palliative Care Center of Lower Cape Fear Hospice","1414 Physicians Drive","Wilmington","NC","28401-","(910)862-3111","Bladen","HC","116 W. Broad Street","Elizabethtown","NC","28337-","Lower Cape Fear Hospice, Inc.","HC2123",F,"020029",F,F,T,F,T,T,F,F,T,T,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"Phillip's Home Health Care","P. O. Box 1391","Wilson","NC","27894-","(910)862-8031","Bladen","HC","197-D  N. Pine Street","Elizabethtown","NC","28337-","Anne Edmundson","HC4034",F,"100161",F,F,T,F,T,F,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"Quality Home Care","P.O. Box 326","Bladenboro","NC","28320-","(910)862-2502","Bladen","HC","508 West King Street","Elizabethtown","NC","28337-","Quality Home Care & Community Services, Inc.","HC3014",F,"050367",F,F,T,F,F,F,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"Quality Home Care and Community Services, Inc.","P.O. Box 326","Bladenboro","NC","28320-","(910)863-3004","Bladen","HC","400 South Main Street","Bladenboro","NC","28320-","Mary Linda Carroll","HC2787",F,"040750",F,F,T,F,F,F,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"Allied Home Health Care, Inc.","117 W Main Street","Whiteville","NC","28472-","(910)755-2020","Brunswick","HC","143 West Holden Beach Road, Suite 1A","Shallotte","NC","28452-","Allied Home Health Care, Inc.","HC3545",F,"061253",F,F,T,F,F,T,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"AssistedCare Home Health","1003 Olde Waterford Way, Suite 2-C","Leland","NC","28451-","(910)332-2341","Brunswick","HC","1003 Olde Waterford Way Suite 2-D","Leland","NC","28451-","AssistedCare Home Health, Inc.","HC1500",F,"970422",F,F,T,F,T,T,T,T,T,T,T,T,T,F,F,F,T,"347224","",0,0,12/31/2018,T,F,F,F,F,F,F,F,F,F
"AssistedCare, Inc.","1003 Olde Waterford Way, Suite 2-E","Leland","NC","28451-","(910)332-2346","Brunswick","HC","1003 Olde Waterford Way, Suite 2-E","Leland","NC","28451-","AssistedCare, Inc.","HC1674",F,"980654",F,F,T,F,T,T,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,T,F,F,F,F,F,F,F,F,F
"AssistedCare, Inc.","1003 Olde Waterford Way, Suite 2-C","LeLand","NC","28451-","(910)642-4960","Brunswick","HC","1003 Olde Waterford Way, Suite 2-C","Leland","NC","28451-","AssistedCare, Inc.","HC2132",F,"020108",F,F,T,F,T,T,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,T,F,F,F,F,F,F,F,F,F
"BrightStar Care of Wilmington and Brunswick County","2709 Market Street","Wilmington","NC","28403-","(910)599-9555","Brunswick","HC","2709 Market Street; Suite 201","Wilmington","NC","28403-","ShoreCare Solutions, Inc.","HC4476",F,"110906",F,F,T,F,T,T,F,T,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,T,F,F,F,F,F,F,F,F,F
"Coastal Companion Care","P.O. Box 297","Oak Island","NC","28465-","(910)457-5300","Brunswick","HC","5101-4 Southport/Supply Road","Southport","NC","28461-","Coastal Companion Care, LLC","HC3890",F,"090683",F,F,T,F,F,F,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"Comfort Keepers","1555 Kathwood Drive","Columbia","SC","29206-","(910)575-5700","Brunswick","HC","10239 Beach Dr., SW, Suite #20","Calabash","NC","28467-","In-Home Compassionate Care Services, Inc.","HC3913",F,"090800",F,F,T,F,F,F,F,F,T,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,F,F,F,F,F,F,F,F
"Interim Healthcare","PO Box 2249","Whiteville","NC","28472-7249","(910)755-8044","Brunswick","HC","592 Ocean Hwy W","Supply","NC","28462-","Interim Healthcare of the Eastern Carolinas, Inc.","HC3460",F,"060879",F,F,T,F,T,T,F,T,T,T,T,F,F,F,F,F,F,"","",0,0,12/31/2018,T,F,F,F,F,F,F,F,F,F
"Liberty Home Care","P. O. Box 200","Supply","NC","28462","(910)754-8133","Brunswick","HC","1120 Ocean Hwy. W","Supply","NC","28462-","Liberty Home Care, LLC","HC0288",F,"923704",F,F,T,F,F,T,F,T,T,T,T,T,T,F,F,F,T,"347247","",0,0,12/31/2018,F,F,T,F,F,F,F,F,F,F
"Liberty Medical Specialties, Inc.","P.O. Box 339","Whiteville","NC","28472-","(910)755-0023","Brunswick","HC","1120 Ocean Highway, West","Supply","NC","28462-","Liberty Medical Specialties, Inc.","HC2420",F,"030881",F,F,T,F,F,F,T,T,F,F,F,F,F,F,F,F,F,"","",0,0,12/31/2018,F,F,T,F,F,F,F,F,F,F
