FID,STYPE,FCOUNTY,FACILITY,FADDR1,FCITY,FSTATE,FZIP,FPHONE,LICNO,LICENSEE,EXPIRES,ORSURG_AS,ORENDO_AS
"943399","AS","Forsyth","Gastroenterology Associates of the Piedmont, P.A.","1830 S, Hawthorne Road","Winston Salem","NC","27103","(336)448-2427","AS0044","Gastroenterology Associates of the Piedmont, P.A.",12/31/2018,0,4
"061140","AS","Forsyth","Gastroenterology Associates of the Piedmont, P.A.","1830 South Hawthorne Road","Winston-Salem","NC","27103-","(336)448-2427","AS0074","Gastroenterology Associates of the Piedmont, P.A.",12/31/2018,0,4
"061240","AS","Catawba","Gastroenterology Associates, Hickory","415 N. Center Street, Suite 300","Hickory","NC","28601-","(828)328-3300","AS0077","Gastroenterology Associates, PA",12/31/2018,0,3
"060202","AS","Cabarrus","Gateway Surgery Center","1025 NorthEast Gateway Court, NE","Concord","NC","28025-","(704)920-7020","AS0070","Gateway Ambulatory Surgery Center, LLC",12/31/2018,4,2
"923189","AS","Wayne","Goldsboro Endoscopy Center, Inc.","2705 Medical Office Place","Goldsboro","NC","27534","(919)580-9111","AS0057","Goldsboro Endoscopy Center, Inc.",12/31/2018,0,4
"923248","AS","Catawba","Graystone Eye Surgery Center","P.O. Box 3524","Hickory","NC","28603-","(828)304-6620","AS0036","Graystone Eye Surgery Center , LLC",12/31/2018,2,0
"101055","AS","Gaston","Greater Gaston Endoscopy Center, LLC","920 Cox Road Suite 201","Gastonia","NC","28054-","(704)772-4455","AS0151","Greater Gaston Endoscopy Center, LLC",12/31/2018,0,2
"923202","AS","Guilford","Greensboro Specialty Surgical Center","3812 N. Elm Street","Greensboro","NC","27455-","(336)294-1833","AS0009","Greensboro Specialty Surgical Center, Ltd.",12/31/2018,3,2
"060856","AS","Guilford","Guilford Endoscopy Center","1A Burton Hills Blvd","Nashville","TN","37215-","(336)553-3190","AS0113","Greensboro NC Endoscopy ASC, LLC",12/31/2018,0,2
"101141","AS","Halifax","Halifax Gastroenterology, P.C.","1007 Gregory Drive","Roanoke Rapids","NC","27870-","(252)535-6478","AS0141","Prashanti, LLC",12/31/2018,0,2
"924478","AS","Guilford","High Point Endoscopy Center, Inc.","624 Quaker Ln Suite C-106","High Point","NC","27262-","(336)885-1400","AS0059","High Point Endoscopy Center, Inc.",12/31/2018,0,3
"923252","AS","Guilford","High Point Surgery Center","600 N  Lindsay Street","High Point","NC","27261-","(336)878-6068","AS0047","High Point Surgery Center, LLC",12/31/2018,6,0
"100141","AS","Wake","Holly Springs Surgery Center, LLC","600 Village Walk Drive","Holly Springs","NC","27504-","(919)762-4030","AS0155","Holly Springs Surgery Center, LLC.",12/31/2018,3,0
"923282","AS","Iredell","Iredell Head Neck and Ear Ambulatory Surgery Center Inc","701 Bryant St","Statesville","NC","28677","(704)873-5224","AS0042","Iredell Head Neck and Ear Ambulatory Surgery Center Inc",12/31/2018,1,0
"923285","AS","Iredell","Iredell Surgical Center","1720 Davie Avenue","Statesville","NC","28677","(704)871-0081","AS0050","Iredell Surgical Associates, L.L.P.",12/31/2018,4,0
"943140","AS","Durham","James E. Davis Ambulatory Surgical Center","120 East  Carver Street","Durham","NC","27704","(919)470-1000","AS0041","Associated Health Services, Inc.",12/31/2018,8,0
"061350","AS","Lenoir","Kinston Medical Specialists, PA  Endoscopy Center","701 Doctors Dr., Suite N","Kinston","NC","28501-","(252)233-3231","AS0122","Kinston Medical Specialists, PA",12/31/2018,0,2
"070322","AS","Harnett","Kurt  Vernon,  MD PA","904-D  West Broad Street","Dunn","NC","28334-","(919)577-0085","AS0138","Kurt G. Vernon, MD PA",12/31/2018,0,1
"923200","AS","Guilford","LeBauer Endoscopy Center","520 North Elam Ave","Greensboro","NC","27403","(336)547-1713","AS0052","Moses Cone Medical Services, Inc",12/31/2018,0,4
"100769","AS","Mecklenburg","Mallard Creek Surgery Center","9848 N. Tryon Street, Suite 200","Charlotte","NC","28262-","(704)548-5200","AS0148","University Surgery Center, LLC",12/31/2018,2,0
"100260","AS","Mecklenburg","Matthews Surgery Center","710 Park Center Dr.","Matthews","NC","28105-","(704)384-7410","AS0136","Matthews Surgery Center, LLC",12/31/2018,2,0
"070157","AS","Lee","Mid Carolina Endoscopy Center","205 Page Road","Pinehurst","NC","27330-","(919)774-4511","AS0094","The Pinehurst Medical Clinic, Inc.",12/31/2018,0,2
"070514","AS","Cabarrus","Northeast Digestive Health Center","1070 Vinehaven Drive","Concord","NC","28025-","(704)783-1840","AS0104","Cabarrus Gastroenterology Associates, PLLC",12/31/2018,0,3
"070415","AS","Mecklenburg","Novant Health Ballantyne Outpatient Surgery","14215 Ballantyne Corporate Place","Charlotte","NC","28277-","(704)316-2650","AS0098","Presbyterian SameDay Surgery Center At Ballantyne, LLC",12/31/2018,2,1
"080376","AS","Mecklenburg","Novant Health Huntersville Outpatient Surgery","10030 Gilead Road","Huntersville","NC","28078-","(704)316-4010","AS0124","Presbyterian SameDay Surgery Center of Huntersville,LLC",12/31/2018,2,0
"942946","AS","Buncombe","Orthopaedic Surgery Center of Asheville","34 Granby Street","Asheville","NC","28801-","(828)225-0861","AS0038","Orthopaedic Surgery Center of Asheville",12/31/2018,3,0
"061349","AS","Lenoir","Park Endoscopy Center, LLC","P.O. Box 1578","Kinston","NC","28503-","(252)527-6565","AS0121","Park Endoscopy Center, LLC",12/31/2018,0,2
"061207","AS","Iredell","Piedmont HealthCare Endoscopy Center","208 Old Mocksville Road","Statesville","NC","28625-","(704)838-8429","AS0126","Piedmont Healthcare, PA",12/31/2018,0,3
"100255","AS","Forsyth","Piedmont Outpatient Surgery Center, LLC","2465 Hanestown Lane","Winston-Salem","NC","27103-","(336)201-0003","AS0134","Piedmont Outpatient Surgery Center, LLC",12/31/2018,2,0
"944499","AS","Guilford","Piedmont Surgical Center","7819 National Service Rd.","Greensboro","NC","27409-","(336)664-0333","AS0063","The Foot Surgery Center of N. C., L. L. C.",12/31/2018,2,0
"060816","AS","Moore","Pinehurst Medical Clinic Endoscopy Center","205 Page Rd","Pinehurst","NC","28374-","(910)295-5511","AS0073","The Pinehurst Medical Clinic Inc",12/31/2018,0,5
"070525","AS","Alamance","Pioneer Ambulatory Surgery Center","2905 Crouse Lane","Burlington","NC","27215-","(336)538-2494","AS0128","Pioneer Ambulatory Surgery Center, LLC",12/31/2018,0,1
"953413","AS","Forsyth","Plastic Surgery Center Of North Carolina","2901 Maplewood Ave","Winston Salem","NC","27103","(336)768-6210","AS0021","Wake Forest University Health Sciences",12/31/2018,3,0
"080515","AS","Guilford","Premier Surgery Center","Premier Dr., Suite 102","High Point","NC","27265-","(336)905-6355","AS0152","Premier Surgery Center LLC",12/31/2018,2,0
"945055","AS","Pitt","Quadrangle Endoscopy Center","1850 W. Arlington Blvd.","Greenville","NC","27834-","(252)757-3636","AS0060","Physicians East, P.A.",12/31/2018,0,6
"923422","AS","Wake","Raleigh Endoscopy Center","1A Burton Hills Blvd.","Nashville","TN","27215-","(919)791-2060","AS0056","The Raleigh NC Endoscopy ASC, LLC",12/31/2018,0,4
"070496","AS","Wake","Raleigh Endoscopy Center - Cary","1A Burton Hills Blvd., Suite 500","Nashville","TN","37215-","(919)792-3060","AS0102","The Raleigh NC Endoscopy ASC, LLC",12/31/2018,0,4
"061469","AS","Wake","Raleigh Endoscopy Center - North","1A  Burton Hills Blvd","Nashville","TN","37215-","(919)256-7980","AS0082","The Raleigh NC Endoscopy ASC, LLC",12/31/2018,0,3
"080609","AS","Wake","Raleigh Orthopaedic Surgery Center","3001  Edwards Mill Road","Raleigh","NC","27612-","(919)719-3070","AS0143","Orthopaedic Surgery Center of Raleigh, LLC",12/31/2018,4,0
"943423","AS","Wake","Raleigh Plastic Surgery Center, Inc.","1112 Dresser Ct","Raleigh","NC","27609","(919)872-2616","AS0034","Raleigh Plastic Surgery Center, Inc.",12/31/2018,1,0
"942945","AS","Randolph","Randolph Health Endoscopy Center","700 Sunset Avenue","Asheboro","NC","27203-","(336)625-4328","AS0054","Randolph Specialty Group Practice",12/31/2018,0,1
"070819","AS","Wake","Rex Surgery Center of  Cary, LLC","1505 SW Cary  Parkway","Cary","NC","27511-","(919)415-1360","AS0129","Rex Surgery Center of Cary, LLC",12/31/2018,4,0
"090438","AS","Robeson","Robeson Digestive Diseases, Inc.","1011 Woodridge Dr.","Lumberton","NC","28358-","(910)739-8825","AS0147","Robeson Endoscopy Center LLC.",12/31/2018,1,0
"130325","AS","Surry","Rockford Digestive Health Endoscopy Center LLC","951 Rockford Street","Mount Airy","NC","27030-","(336)719-7993","AS0154","Rockford Digestive Health Endoscopy Center, PA",12/31/2018,0,1
"050696","AS","Mecklenburg","SouthPark Surgery Center, LLC","6035 Fairview Road","Charlotte","NC","28210-","(704)295-3080","AS0068","SouthPark Surgery Center, LLC",12/31/2018,6,0
"070569","AS","Robeson","Southeastern Gastroenterology Endoscopy Center, P.A.","101 West 27th Street","Lumberton","NC","28358-","(910)739-0770","AS0107","Southeastern Gastroenterology Endoscopy Center, P.A.",12/31/2018,0,1
"943476","AS","Burke","Surgery Center Of Morganton Eye Physicians, P.A.","335 E Parker Rd","Morganton","NC","28655","(828)433-6225","AS0040","Morganton Eye Physicians, P.A.",12/31/2018,2,0
"060155","AS","Moore","Surgery Center of Pinehurst","10 First Village Drive","Pinehurst","NC","28374-","(910)235-5000","AS0069","Surgery Center of Pinehurst, LLC",12/31/2018,6,0
"943477","AS","Guilford","Surgical Center of Greensboro","705 Green Valley Road","Greensboro","NC","27408-","(336)272-0012","AS0018","Surgical Center of Greensboro, LLC",12/31/2018,13,0
"923346","AS","Guilford","Surgical Eye Center","3312 Battleground Ave","Greensboro","NC","27410","(336)282-8330","AS0033","The Greensboro Ophthalmology ASC, LLC",12/31/2018,4,0
"943487","AS","Buncombe","The Endoscopy Center","191 Biltmore Ave","Asheville","NC","28801","(828)254-0881","AS0051","Endoscopy Center of North Carolina, LLC",12/31/2018,0,5
"953347","AS","Moore","The Eye Surgery Center of the Carolinas, L.P.","2170 Midland Rd.","Southern Pines","NC","28387-","(910)295-1221","AS0022","The Eye Surgery Center of the Carolinas, L.P.",12/31/2018,3,0
"110709","AS","Robeson","The Surgery Center at Southeastern Health Park","4901 Dawn Drive","Lumberton","NC","28360-","(910)887-2361","AS0150","Southeastern Ambulatory Surgery Center, LLC",12/31/2018,4,2
"954590","AS","Carteret","The Surgical Center of Morehead City","1A Burton Hills Boulevard","Nashville","TN","37215-","(252)247-0314","AS0061","Center of Morehead City, LLC",12/31/2018,2,1
"061486","AS","Durham","Triangle Endoscopy Center","1A  Burton Hills Blvd.","Nashville","TN","37215-","(919)544-4887","AS0085","Duke Triangle Endoscopy Center, LLC",12/31/2018,0,4
"070232","AS","Wake","Triangle Gastroenterology","2600 Atlantic Avenue","Raleigh","NC","27604-","(919)881-9999","AS0093","Triangle Gastroenterology, PLLC",12/31/2018,0,2
"101146","AS","Wake","Triangle Orthopaedics Surgery Center","7921 ACC Blvd","Raleigh","NC","27617-","(919)596-8524","AS0142","Triangle Orthopaedics Surgery Center, LLC",12/31/2018,2,0
"050752","AS","Union","Union West Surgery Center","P.O. Box 2325","Indian Trail","NC","28079-","(704)821-5192","AS0132","Union Health Services LLC",12/31/2018,2,0
"080828","AS","Edgecombe","Vidant Endoscopy Center","201 Clinic Drive","Tarboro","NC","27886-","(252)823-2105","AS0127","Tarboro Endoscopy Center, LLC",12/31/2018,0,1
"943478","AS","Pitt","Vidant SurgiCenter","102 Bethesda Dr","Greenville","NC","27834","(252)847-7700","AS0012","SurgiCenter of Eastern Carolina, LLC",12/31/2018,10,0
"070688","AS","Catawba","Viewmont Surgery Center","50 13th Avenue N. E.","Hickory","NC","28601-","(828)624-1250","AS0101","Viewmont Surgery Center, LLC",12/31/2018,3,0
"100398","AS","Wake","W.F. Endoscopy Center, LLC","10540 Ligon Mill Road","Wake Forest","NC","27587-","(919)439-3393","AS0131","W.F. Endoscopy Center, LLC",12/31/2018,0,2
"070792","AS","Wake","Wake Endoscopy Center, LLC","2601 Lake Drive","Raleigh","NC","27607-","(919)783-4888","AS0111","Wake Endoscopy Center, LLC",12/31/2018,0,4
"070526","AS","Forsyth","Wake Forest Baptist Health Outpatient Endoscopy","101 Charlois Blvd.","Winston-Salem","NC","27103-","(336)713-0330","AS0125","NCBH Outpatient Endoscopy  Center, LLC",12/31/2018,0,2
"090837","AS","Macon","Western Carolina Endoscopy Center, LLC","197 Riverview Street","Franklin","NC","28734-","(828)349-3636","AS0097","Western Carolina Digestive Consultants, PA",12/31/2018,0,1
"070133","AS","New Hanover","Wilmington Gastroenterology","5115 Oleander Drive","Wilmington","NC","28403-","(910)362-1011","AS0091","Wilmington Gastroenterology Endoscopy Center, Inc.",12/31/2018,0,4
"943565","AS","New Hanover","Wilmington Health","1202 Medical Center Dr","Wilmington","NC","28401","(910)341-3433","AS0045","Wilmington Health, PLLC",12/31/2018,0,3
"923566","AS","New Hanover","Wilmington SurgCare","1801 South Seventeenth St","Wilmington","NC","28401","(910)763-4555","AS0055","Wilmington Surgery Center, L.P.",12/31/2018,7,3
"070848","AS","Wilson","Wilson Digestive Diseases Center, P. A","2402 Camden Street","Wilson","NC","27893-","(252)237-5060","AS0130","Wilson Digestive Diseases Center, PA",12/31/2018,0,2
"943506","AS","Wilson","Wilson OB-GYN","P O Box 7639","Wilson","NC","27893","(252)206-1000","AS0007","Wilson OB-GYN, P.A.",12/31/2018,1,0
